label,ComplementNB_pred,overall,summary,text_preview
Positive,Negative,5.0,They're Awesome!,"They're Awesome!. We are 100% happy with this washer and dryer. In the end, we ended up buying it from Costco because the delivery and setup seemed better. I re"
Neutral,Negative,3.0,Repair how-to if drain is clogged (nD - doesn't drain),"Repair how-to if drain is clogged (nD - doesn't drain). This washer works ok, and is the only one I found that would fit in my apartment without having to remov"
Positive,Negative,4.0,Great improvement by GE,"Great improvement by GE. After reading many reviews about washing machines before making a decision, I decided to purchase this GE washer. I've always liked GE "
Positive,Negative,4.0,Fits my needs,"Fits my needs. We had some initial problems with our dishwasher because we needed to find an adapter to attach it to our kitchen sink, and because the water inl"
Positive,Neutral,5.0,Works well for me,"Works well for me. This wall cap is at the end of 4"" duct work connected to an upstairs bathroom fan in my house, and does its job well. It comes with aluminum "
Positive,Neutral,4.0,Will only take small loads but does a pretty good job,"Will only take small loads but does a pretty good job. Took this to our house in Mexico, electric uses too much power. My wife has used it a number of times and"
Neutral,Negative,3.0,... bought it and found it to be not as good all my clothes get tangled,... bought it and found it to be not as good all my clothes get tangled. I bought it and found it to be not as good all my clothes get tangled. The only thing i
Positive,Negative,5.0,Stopped the washing machine creep,Stopped the washing machine creep. Work as advertised.
Neutral,Positive,3.0,over-priced rubber grate pads,over-priced rubber grate pads. tiny piece of rubber should cost less than a quarter. easy to install but am concerned how long they will last
Positive,Negative,5.0,Works well with Acurite sensors,Works well with Acurite sensors. No dedicated PC needed to access your data remotely
Positive,Neutral,5.0,Filter your water,"Filter your water. It's a good idea to change your fridge water filter, yearly.  This one is the least expensive that I have found.  It has all of the ""bells an"
Neutral,Negative,3.0,The unit works that's really all that matters. This ...,The unit works that's really all that matters. This .... The unit works that's really all that matters.  This is my second valve though and I think it's a shame
Positive,Negative,5.0,Extremely difficult to put back on (due to the spring ...,"Extremely difficult to put back on (due to the spring .... Extremely difficult to put back on (due to the spring clamps, not the gasket itself). Exactly the ite"
Neutral,Negative,3.0,handy but less reliable,"handy but less reliable. Bought 1st one in 2004 to wash my baby clothes since I did not want to wash them in common laundry of our apartment.
Pro: Just small en"
Positive,Negative,4.0,"Looks okay, for the price...","Looks okay, for the price.... I asked customers who bought this item whether it comes with any rubber gasket and has been replied with ""yes"" (rubber one for abo"
Positive,Negative,4.0,i HAVE A SIDE-BY-SIDE GE REFRIGERATOR/FREEZER. I PURCHASED THIS ...,i HAVE A SIDE-BY-SIDE GE REFRIGERATOR/FREEZER. I PURCHASED THIS .... i HAVE A SIDE-BY-SIDE GE REFRIGERATOR/FREEZER. I PURCHASED THIS FILTER FROM AMAZON CHEAPER 
Negative,Positive,2.0,Two Stars,Two Stars. Smaller than what I expected
Negative,Positive,2.0,Sears Model !,Sears Model !. Darn Same F7 Problem.
Neutral,Negative,3.0,"Received multiple damaged units, doesn't keep time, sucks air well.","Received multiple damaged units, doesn't keep time, sucks air well.. In some ways, I wanted to give it one or two stars, but the price and the fact that is exha"
Neutral,Positive,3.0,3 stars,3 stars. IT's not the best freezer here in Amazon but it's definitely not the worst one. It works well and has sufficient space for my stuff.
Positive,Negative,4.0,Read this review it debunk some of the others.,Read this review it debunk some of the others.. I purchase this dryer to use in our camper as we need a 110 plug in for the dryer in the camper it dries clothes
Negative,Neutral,1.0,NO WIRES OR CORDS TO CONNECT,NO WIRES OR CORDS TO CONNECT. The fan is nice but I couldn't see that it had to be hook up from exhaustion from the ceiling connect to outside. I end up not usi
Positive,Neutral,4.0,Keeping out the cold!,Keeping out the cold!. The best way to know if this works is during a cold blast so comparing this to a flapper vent .........this is much better. I have two ap
Positive,Neutral,4.0,Serves its purpose.,Serves its purpose.. Bought it to replace the one on our wasteking. Fits fine. Water drains pretty slow through it and leaves a very small opening to cram the f
Positive,Negative,5.0,Looks like a good filter,"Looks like a good filter. Fits my humidifier, does the job, seems sturdy. Not much else to say. Holmes (the manufacturer of the humidifier I use) apparently is "
Neutral,Negative,3.0,I was excited to receive these filters. I had ...,"I was excited to receive these filters. I had .... I was excited to receive these filters.  I had to send them back however, because the opening in the filter t"
Neutral,Positive,3.0,Cheaper than Home Depot,"Cheaper than Home Depot. Not much I can say, it seems to work fine. (at keeping the wife from spending money on bottled water) and Cheaper than Home Depot."
Positive,Negative,4.0,Four Stars,Four Stars. Did not fix the trouble
Positive,Negative,5.0,I'm Pleased,"I'm Pleased. I purchased this dishwasher from the local home improvement store, and I couldn't be happier with it so far.  I was initially looking at the&nbsp;<"
Neutral,Negative,3.0,A great idea. I hope they release an update for ...,A great idea. I hope they release an update for .... A great idea. I hope they release an update for the associated app soon. It's currently buggy and updates w
Positive,Neutral,5.0,Worth The Price,Worth The Price. This is a versatile system for a modest price. There is a caveat - FOLLOW THE DIRECTIONS! This system has an excellent instruction manual which
Positive,Negative,5.0,I don't feel like it's fair to even give the product itself a ...,"I don't feel like it's fair to even give the product itself a .... So, I don't feel like it's fair to even give the product itself a star rating as I never got "
Neutral,Negative,3.0,Three Stars,Three Stars. Item was returned as it did not fit.  No issues with the return.
Neutral,Negative,3.0,There are some defects on the stainless steel and the ...,There are some defects on the stainless steel and the .... There are some defects on the stainless steel and the bottom rubber protector has had to be placed ba
Neutral,Positive,3.0,Three Stars,Three Stars. it work!
Neutral,Negative,3.0,Did not fit my freezer even though i looked up ...,"Did not fit my freezer even though i looked up .... Did not fit my freezer even though i looked up the info and it said it would but its OK, my boyfriend rigged"
Neutral,Negative,3.0,Got shorted on the parts,"Got shorted on the parts. It owuld be a perfect fit but they shorted me on parts. I did not get all of the small pieces for the inside so my facet still leaks
I"
Positive,Negative,4.0,Works great for the motorhome,Works great for the motorhome. We have purchased two of these units in the last couple of years. The first one only lasted just under a year and we have had the
Positive,Neutral,5.0,Totaline Thermostat Reciever,"Totaline Thermostat Reciever. So far have had no issues with the receiver, has worked awesome the whole time!

However its wireless counterpart that works with "
Neutral,Positive,3.0,Three Stars,Three Stars. Easy to install. Does what it's suppose to
Positive,Negative,5.0,equal to those purchased from Whirlpool and much cheaper.,equal to those purchased from Whirlpool and much cheaper.. equal  to those purchased from Whirlpool and much cheaper.
Positive,Negative,4.0,happy my house didn't burn down,happy my house didn't burn down. It has all the basic stuff required for installation.  My problem was the previous home owner had little knowledge when he inst
Positive,Negative,5.0,i ordered this sensor thinking this was my problem. ...,i ordered this sensor thinking this was my problem. .... i ordered this sensor thinking this was my problem.i found out it was my mother board.so i'll have a se
Positive,Negative,5.0,A SUPER DIY REPAIR KIT,"A SUPER DIY REPAIR KIT. Our ice maker quit working after just 15 years of service.  LOL.  So as it is an old Whirlpool Refrigerator, this was the crossover mode"
Neutral,Negative,3.0,Cleans great. There is a constant leak from the faucet,"Cleans great. There is a constant leak from the faucet. Cleans great.  There is a constant leak from the faucet, though, and no amount of teflon tape or anythin"
Positive,Negative,5.0,will not make ice,"will not make ice. Works great!  unfortunately  I was sent the
wrong part originally!"
Neutral,Positive,3.0,Three Stars,Three Stars. Fits ok. Felt could have been wider for a snugger fit.
Positive,Negative,5.0,Very impressed,"Very impressed. This stuff is great, normally I have a problem with the store bought crap, I've used Bed head manipulator, American crew fiber, a couple of the "
Neutral,Positive,3.0,Three Stars,Three Stars. Cannot tell much difference.
Positive,Negative,5.0,it was the bad switch all along,it was the bad switch all along. This one works!!! Previously bought a non-whirlpool after market switch and it failed with in three weeks. It is not worth the 
Neutral,Negative,3.0,Three Stars,"Three Stars. Did not fit but was taken back.
Still had washer apart to learn that lesson.
Not fun"
Positive,Negative,5.0,Nice replacements of the originals.,"Nice replacements of the originals.. Nice replacements for the poorly designed originals.  While these are metalized plastic, just like the originals, they work"
Positive,Negative,4.0,Good to Go,"Good to Go. I do not know how old our GE Refrigerator is, but it has the Freezer on the Bottom, ""Plain Jane Model"" and the Control Board had this WR55X10416 as "
Positive,Neutral,5.0,I am so happy with the purchase of the Nina Soft Spin Dryer!,I am so happy with the purchase of the Nina Soft Spin Dryer!. I live in an apartment building with a communal laundry room. Over the years I have grown increasi
Neutral,Negative,3.0,We made it fit,We made it fit. I bought this for my parents stove. It's a whirlpool and we had been having a tough time finding knobs. None of the plastic caps fit our stove b
Positive,Negative,5.0,"Good filter, I think I can taste the difference?!","Good filter, I think I can taste the difference?!. I did not like the taste of the water from my refrigerator before, but my family has always drank from there "
Positive,Neutral,5.0,Worked as it should,Worked as it should. it worked as it should the old one had Ice cubes caught and was making noise.
Negative,Positive,1.0,Be careful,"Be careful. Didn't fit the washer machine,  trying to see why is the model is the same,  delivery and packaging was good but the product wasn't right."
Positive,Negative,5.0,After some troubleshooting have ice again!,"After some troubleshooting have ice again!. I purchased this item from the reseller ""DeepDiscountsco"".  I initially had a problem with it where the shutoff arm "
Neutral,Positive,3.0,It's not easy but once on,"It's not easy but once on. The spring was too small for my door but I managed to force it on.  It's not easy but once on, it worked great."
Positive,Negative,5.0,Said it was gonna take like 2 weeks but showed up only 3 days later,Said it was gonna take like 2 weeks but showed up only 3 days later. Arrived way earlier then expected. Said it was gonna take like 2 weeks but showed up only 3
Neutral,Negative,3.0,Not for all GE Stoves.,Not for all GE Stoves.. 2 of these fit my stove. One large one and one small one do not sit right in the stove. I probably needed to order the Universal Porcela
Positive,Negative,5.0,"Fairly easy installation, looks like real stainless.","Fairly easy installation, looks like real stainless.. I updated my 20 year old appliances (dishwasher, stove, microwave) with new stainless steel appliances.  M"
Positive,Negative,5.0,humid wick,"humid wick. Works very well. They only last about 30 to 45 days.
The product is designed to filter and it does its job.
I would recommend it"
Negative,Neutral,1.0,Weak sheet metal with subpar finish,Weak sheet metal with subpar finish. The packing is not sufficient to protect this dainty piece from damage.  I expected this to be as it is described- a wall p
Positive,Negative,5.0,Great icemaker,"Great icemaker. Arrived on time. Wiped it clean, poured water in and it starts making ice right away. I tried the different ice size settings and didn't see muc"
Negative,Positive,2.0,not perfect,not perfect. One of the filters was cut too small rendering it ineffective. It was my first order so i cannot comment on the probability of his happening again.
Positive,Negative,5.0,No leaks!!,"No leaks!!. Highly recommend!  I bought the cheap ones instead of these in an attempt to save a large amount of money, but every one of the filters in that thre"
Positive,Neutral,5.0,Pays for itself,"Pays for itself. I have used a cool-mist Holmes humidifier for many years.  Typically, the filters must be changed bi-weekly, and there is a damp smell at times"
Neutral,Negative,3.0,Mi lavadora,"Mi lavadora. Hola, not en mi lavadora la sensacin de corriente elctrica en la secadora por lo que tengo temor lo pude comprobar en 2 ocaciones en la primera y n"
Neutral,Positive,3.0,"Works fine, but I wish the shipping were a bit ...","Works fine, but I wish the shipping were a bit .... Works fine, but I wish the shipping were a bit faster. I ended up having to spend thanksgiving without a wor"
Positive,Negative,5.0,Difi dishwasher filter,Difi dishwasher filter. Got this filter due to sediment in our lines..installed it easily but noticed a puddle in the morning. Put extra plumbers tape on one of
Positive,Neutral,5.0,Does the job just fine!,Does the job just fine!. I love this set! I've had mine for 3 years now.  Washing time may be longer but I can really do much more laundry in 1 load so in all r
Negative,Neutral,2.0,Not what expected,"Not what expected. Prior to purchasing these filters, I had read that they would eliminate the white dust that is present when these filters are not used.
The f"
Negative,Neutral,1.0,TAKES AN HOUR TO DRY !!,"TAKES AN HOUR TO DRY !!. Just to warn you that it takes an hour to dry 4 bath towels.
Takes over 80 minutes when it's filled full with the following cotton piec"
Positive,Neutral,4.0,"Great tool, but probably could have gotten by without it","Great tool, but probably could have gotten by without it. Great tool, took 5 seconds to use it and it did the job on the outer spring.  I tried to use it on the"
Neutral,Negative,3.0,Spacious but flaws,"Spacious but flaws. I got the 5.1 cubic foot freezer and it is the perfect amount of room for me.  This would, without a doubt, be a 5 star product if it weren'"
Neutral,Positive,3.0,Great product,"Great product. It is a great microwave, however it came damaged on the top right hand corner and the door won't open and close easily.  But it seemed like a lot"
Neutral,Negative,3.0,Hard to find in town....,Hard to find in town..... It's about like rating a paper clip but here goes. This one did fit my Cub Cadet Weed trimmer and I could NOT find one in town so I bo
Neutral,Negative,3.0,WORKS BUT REALLY REALLY NOISY,WORKS BUT REALLY REALLY NOISY. When i got it it seemed to be working fine but about a week later it starting getting so loud i put it outside. It still making i
Neutral,Negative,3.0,Did not fit.,Did not fit.. Did not fit my stove - not sure where the error came in. Could have been me but not sure at this point
Positive,Neutral,5.0,Works for me!,"Works for me!. These plain almond covers look lovely on my almond-coloured stovetop.  They are not an exact match colour-wise, but it's a pleasant contrast.  On"
Neutral,Positive,3.0,Three Stars,Three Stars. Good product
Positive,Neutral,4.0,Seems ok,"Seems ok. Decided to give these a try, as two of them cost just a little more than what one OEM filter does.  So far, so good.  Flow rate is markedly increased "
Positive,Negative,5.0,Original FSP Replacement part,Original FSP Replacement part. The element is exactly the same in terms of fit and finish of old element. The old element lasted 5 years + of everyday/7 day use
Positive,Negative,4.0,Works!,Works!. Seems to be working.  The water pressure coming out seems a bit less than the previous brand Whirlpool used but not bad.
Positive,Neutral,5.0,That extra foot makes a big difference,"That extra foot makes a big difference. I have a cheap washer with a 1"" output. The standard hose that came with the machine was long enough to make it to the d"
Neutral,Negative,3.0,"Apparently, this is (according to GE's website) the splash ...","Apparently, this is (according to GE's website) the splash .... Apparently, this is (according to GE's website) the splash guard made for my ancient Disposal.  "
Neutral,Negative,3.0,It's a knob. It fit. It turns. ...,It's a knob. It fit. It turns. .... It's a knob.  It fit.  It turns.  What else can I say?
Neutral,Positive,3.0,GOOD PRODUCT,GOOD PRODUCT. Product was as described and covered the damaged tines.  reat price for an easy fix.  i would recommend this to anyone to save on buying a new rac
Positive,Neutral,5.0,Cubes every 10 min.,Cubes every 10 min.. Bought this at Target for 109.00.  Best price that I have found for a counter-top ice maker.  It dumps cubes into the basket every ten minu
Neutral,Positive,3.0,Three Stars,Three Stars. It worked.
Positive,Negative,5.0,Extech 445815 is quick to adjust and accurate,Extech 445815 is quick to adjust and accurate. I just purchased the Extech 445815 and took the meter outside after opening it.  Weather channel has us at 48F 22
Positive,Neutral,5.0,A-ok,A-ok. Worked fine to cover ends of rusted dw racks.
Positive,Negative,5.0,"Large, Quiet and Good Price","Large, Quiet and Good Price. Purchasing large house appliance is always a difficult decision. As for cloth washers, I have not seeny any brand, or any particula"
Negative,Neutral,1.0,Not like the original!,Not like the original!. They did no t perform like the original.  My water flow was cut in half.  Bad decision.
Neutral,Negative,3.0,poor value,poor value. It disintegrates after a short use.
Neutral,Negative,3.0,Didnt fit.,Didnt fit.. This didn't fit my freezer. I have a kenmore freezer and it should have fit but didnt.
Positive,Neutral,4.0,"Good trim, but the cabinet maker didn't use it","Good trim, but the cabinet maker didn't use it. He, instead, formed a cover with wood, so I didn't use it but held on to it too long to return it. It's for sale"
Positive,Negative,5.0,Rubber feet for a stove,"Rubber feet for a stove. I don't have a GE range, but a Frigidaire. I do a lot of canning, and my previous rubber feet had melted. This brand fit right in my br"
Negative,Positive,1.0,Installation was easy once you climbed into the freezer,Installation was easy once you climbed into the freezer. I ordered and received a new freshly packed Icemaker Assembly. Installation was easy once you climbed i
Neutral,Negative,3.0,Not worth the money...,Not worth the money.... People said this unit would last but we've been having problems with it for over 8 months and now it won't work at all....
Neutral,Negative,3.0,The knob was as described however there are several models ...,The knob was as described however there are several models .... The knob was as described however there are several models of this item and all have the same pa
Positive,Neutral,4.0,Within 2% of my optimal setting which is good enough for me,"Within 2% of my optimal setting which is good enough for me. Ignore the settings, get the room to you desired humidity and set the dial until the thing you are "
Neutral,Positive,3.0,I basically chose the Whirlpool brand which fit my fridge at the best price. It works,"I basically chose the Whirlpool brand which fit my fridge at the best price. It works. There are so many options for these filters, it's nearly impossible to ra"
Positive,Negative,5.0,5 Stars all the way!,5 Stars all the way!. I've seen this on many different Off Grid type TV shows and when my Washing Machine broke I decided I was going to give this a try before 
Positive,Neutral,5.0,Has the larger opening if you purchased the cheaper one with the small opening,Has the larger opening if you purchased the cheaper one with the small opening. Has the larger opening if you purchased the cheaper one with the small opening. 
Positive,Neutral,4.0,"Works great, I think, but not so cheap","Works great, I think, but not so cheap. I have to assume this filter does a good job as I really can't see exactly what this filter does.  I, however, would say"
Neutral,Positive,3.0,Three Stars,Three Stars. Arrived with a dent in one of the small covers.
Positive,Negative,4.0,My dishwasher looks great! The paper went on well for me--no bubbles,My dishwasher looks great! The paper went on well for me--no bubbles. My dishwasher looks great!  The paper went on well for me--no bubbles!
Positive,Negative,5.0,"Waste King, Top Rated","Waste King, Top Rated. We didn't use these parts, but order them as a back  up when we ordered the Waste King. Waste King products are worth ordering."
Positive,Negative,5.0,It's small but it exceeded my expectations!,It's small but it exceeded my expectations!. I was dubious at best.  I have worked residential construction most of my life and know that there is a big differe
Positive,Neutral,4.0,Not a complete kit w/o Silicone Grease,"Not a complete kit w/o Silicone Grease. The right part and it fits.
I wish I'd known:  Instructions in the package say ""Apply a coating of silicone grease PN 26"
Negative,Positive,2.0,Two Stars,Two Stars. Works fine. Price seems high for what it is.
Neutral,Negative,3.0,Don't feel like uninstalling and tearing it apart to see why they ...,Don't feel like uninstalling and tearing it apart to see why they .... No installation instructions in the box. Clear plastic shrink to protect cooktop left a f
Neutral,Positive,3.0,"This arrived quickly, was more than I wanted to ...","This arrived quickly, was more than I wanted to .... This arrived quickly, was more than I wanted to spend, and came with the entire upper rack. All I needed wa"
Positive,Neutral,5.0,Solution for curly hair,Solution for curly hair. Love it.  Took about 1 week yo get the hang of it.  Can't use it on soaking wet hair so I just air dry for about 15 minutes.  I have cu
Positive,Negative,5.0,You won't regret it!,You won't regret it!. No more animals coming through the vent!  I check it every month & very minimal lint collects.  Well worth it!
Neutral,Negative,3.0,we ended up buying the wrong board,we ended up buying the wrong board. Fast shipping.. but we ended up buying the wrong board. a lot of fridges today have all those fancy boards but they most lik
Negative,Neutral,1.0,Purchased for a replacement for my refrigerator it limits the ...,Purchased for a replacement for my refrigerator it limits the .... Purchased for a replacement for my refrigerator it limits the water pressure causing the ice 
Neutral,Negative,3.0,Cool Drinks,"Cool Drinks. Doesn't get very cold at all.  Cool drinks for sure, but not frosty cold by any means."
Neutral,Negative,3.0,does not work right,"does not work right. with the lid open the water fills, but starts with the lid still open and will run  with the lid open or closed so this switch is not safe."
Neutral,Negative,3.0,Still didn't work,Still didn't work. The dishwasher still didn't work but it may not be the parts fault. It may be something else. The part was exactly what we ordered.
Negative,Positive,2.0,Two Stars,Two Stars. Ok not much better than round brush and blow dryer. Just more expensive
Neutral,Positive,3.0,I'm sure it works if it fit my dryer! ...,I'm sure it works if it fit my dryer! .... I'm sure it works if it fit my dryer! Identical coil but the bracket it's connected to is marginally different so end
Neutral,Positive,3.0,Three Stars,Three Stars. the filter works but the water tase have to be aquired over time.
Neutral,Negative,3.0,I feel like there's a fish tank next to me,I feel like there's a fish tank next to me. Gurgles constantly. I feel like there's a fish tank next to me.
Neutral,Negative,3.0,"Looks nice, switches are cheap","Looks nice, switches are cheap. If I had reviewed this a month ago I would have given it 4 stars.  However like many others I just had a switch failure, my ligh"
Neutral,Positive,3.0,Three Stars,Three Stars. Not as good as the original lint screen.
Positive,Neutral,5.0,"Finally, a wax motor that works","Finally, a wax motor that works. I replaced the R-11 resistor and Q-6 triac in my Maytag Neptune washer, but had failed to replace the wax motor.  Unfortunately"
Positive,Negative,4.0,LG532JA2006A,LG532JA2006A. Have used this filter for about 5 years on my Kenmore frig. The salesperson told me that while the mfg suggests replacing every 6 months if you us
Positive,Negative,5.0,Water and ice machine,Water and ice machine. Takes many hours take make the ice bin full. Slow making ice. If your having more than 1 cup to fill you'll be waiting hours. My stars sh
Positive,Neutral,4.0,Holmes Replacement Filter,"Holmes Replacement Filter. Cheaper option for my humidifier, but the quality isn't as good (sometimes splits apart a bit), and doesn't last as long."
Positive,Negative,5.0,The filter is awesome!!,"The filter is awesome!!. Sorry ignore previous post. I reviewed wrong item.
The filter is awesome!!!"
Positive,Negative,5.0,We own a RSG257AABP/XAA Samsung fridge that uses a DA29-00003B ...,We own a RSG257AABP/XAA Samsung fridge that uses a DA29-00003B .... We own a RSG257AABP/XAA Samsung fridge that uses a DA29-00003B OEM water filter.  The EcoAqu
Positive,Negative,4.0,Four Stars,Four Stars. Gave 4 had to run to much through filter before using
Negative,Neutral,2.0,Two Stars,Two Stars. I ordered two and only received one
Positive,Negative,5.0,Installed fine and seems to work,Installed fine and seems to work. Not much you can say about an ignitor... the oven lights so it's good.  If it burns out anytime soon I'll update this review.
Neutral,Negative,3.0,"Works/fits, but requires special measures to avoid loosening.","Works/fits, but requires special measures to avoid loosening.. Knocked two stars off of rating because of unneeded aggravation.

Background: This nut is a requi"
Positive,Negative,5.0,Saved me from buying a new fridge.,Saved me from buying a new fridge.. Our 1994 Kenmore refrigerator  quit cooling.  I could hear it try to start but it would immediately shut back down.  I recog
Negative,Positive,2.0,Two Stars,Two Stars. Tastes just like chlorinated tap water... time to switch brands
Neutral,Negative,3.0,I would like to return this item,"I would like to return this item. I would like to return this item. It is in it's original package, unopened. Realized after ordering that it would not be long "
Positive,Negative,5.0,Great water pressure with this filter.,Great water pressure with this filter.. The water pressure coming from the cold water tap on our refrigerator is much better with this filter. I've used several
Neutral,Negative,3.0,It was a great wood protection idea but it is very visible & ...,It was a great wood protection idea but it is very visible & .... It was a great wood protection idea but it is very visible & doesnt match my brown stain cabin
Positive,Negative,4.0,I ordered this replacement and was please to see that the plastic piece inside is now made of a much better quality (and hopeful,I ordered this replacement and was please to see that the plastic piece inside is now made of a much better quality (and hopeful. I purchased this as a replacem
Positive,Negative,5.0,So Quiet You'll Never Know It's Running! REALLY!,"So Quiet You'll Never Know It's Running! REALLY!. I bought dishwashers that tout their silent operation and found that, while they were more quiet than the unit"
Positive,Negative,4.0,Four Stars,Four Stars. Ordered 12-27-17 received 1-9-18. Exact fit.
Negative,Positive,1.0,Lack of ice from the ice maker.,Lack of ice from the ice maker.. It claimed it makes up to 20lbs. of ice daily. Maybe 2lbs. if you are lucky. Not very happy with this product.
Positive,Negative,5.0,Unreal....,Unreal..... I used this product on a Kenmoore HET2 front load washer located on a second floor. During the spin cycle it would shake the entire home.  I was abo
Neutral,Positive,3.0,Just as described.,Just as described.. Fit perfectly. For my Kenmore refrigerator. Later found same style for my refrigerator half the price. Check other site's before making fina
Positive,Negative,5.0,"Very weak broke,  the whole thing broke from top screw and from bottom screw,","Very weak broke,  the whole thing broke from top screw and from bottom screw,. Was very careful opening door, the whole thing broke from top screw and from bott"
Positive,Neutral,5.0,Outstanding high quality instrument at a low price.,Outstanding high quality instrument at a low price.. I bought two meters for use in my basement and shop.  I took them to work and compared them to a recently c
Positive,Negative,4.0,"Good Kegerator, Bad Faucet","Good Kegerator, Bad Faucet. This kegerator does the job.  We have had it for about a year and go through a keg every other week during football season.  The rea"
Neutral,Negative,3.0,"The main thing I was disappointed in, was that this does not seem to ...","The main thing I was disappointed in, was that this does not seem to .... It seems to be working okay so far, but does not sit perfectly into the old housing. I"
Neutral,Negative,3.0,Yes!,Yes!. Perfectly adequate alternative to the outrageously expensive Sub-Zero OEM part.
Neutral,Positive,3.0,Three Stars,Three Stars. Got a new dryer instead!  lol
Positive,Neutral,5.0,Fits Great Stanco Bowls,Fits Great Stanco Bowls. I bought these because they were the only ones that had 3 slots showing in the bowls and didn't cost an arm and leg.  I was worried the
Positive,Neutral,5.0,Five Stars,Five Stars. OK filter
Positive,Negative,5.0,Sealed up the dryer.,"Sealed up the dryer.. Had a couple of spots where the backing had come off, stuck to the bag, but pulled off easily and stuck to the dryer just fine."
Positive,Neutral,4.0,Definitely Does The Job,Definitely Does The Job. I purchased this controller to work with a chest freezer for a fermentation chamber.  I will start by saying that this unit does contro
Neutral,Negative,3.0,Three Stars,Three Stars. Did not work on my fridge. Don't know why. Vendor processed refund.
Positive,Neutral,5.0,Ice cubes all the time,Ice cubes all the time. I live in a hot climate and this machine creates ice. What
Neutral,Positive,3.0,Three Stars,Three Stars. Works as described.
Positive,Negative,5.0,A must for any humidifier!,A must for any humidifier!. Purchased this product after the first filter on my humidifier started deteriorating and producing an unpleasant smell after only a 
Positive,Negative,4.0,Why pay more?,Why pay more?. This is the same knob that would have cost me 4 times more from GE!  It looks like the other knobs on my stove!
Positive,Negative,5.0,Sent back... dryer caught fire the night ...,Sent back... dryer caught fire the night .... Sent back...dryer caught fire the night before it arrived so I cannot speak to its effectiveness.
Neutral,Negative,3.0,Product description confusing,"Product description confusing. Product description confusing. I assumed I would would get what was pictured. Only came with bearing and slides, no felt. There w"
Positive,Negative,5.0,no review,no review. no review
Positive,Neutral,5.0,OEM part,"OEM part. If your dryer has some age to it, or if you just want to be safe when you need to remove the wheel to get at other parts like the motor it's best to o"
Positive,Neutral,4.0,Four Stars,"Four Stars. They are OK but I didn't use them, I went to the solid stove cover made of Bamboo.
Kati"
Positive,Neutral,4.0,It would be better if they made the disk refillable,"It would be better if they made the disk refillable. It works ok, but is expensive for what it is.  It would be better if they made the disk refillable. Making "
Positive,Neutral,5.0,Including clip,Including clip. Includes plastic clip
Neutral,Positive,3.0,Good replacement.,Good replacement.. It's an egg tray. What do you expect? It holds eggs...LOL
Neutral,Positive,3.0,it looks like and works like the original,"it looks like and works like the original. Seemed to fit a bit tightly onto the post.  I don't think it seated completely, but I was afraid to push any harder f"
Positive,Negative,5.0,Knobs that work are good,Knobs that work are good. When our stove was installed they failed to include the little metal sleeves and so they broke. These new ones fit right in and have t
Positive,Negative,5.0,Great,"Great. Received this last Friday and the condenser froze on Sunday - Danby customer service was helpful, but ultimately
recommended to return to Amazon.  Receiv"
Neutral,Positive,3.0,The sizes and look of them were great. I was expecting them to be thicker and ...,The sizes and look of them were great. I was expecting them to be thicker and .... The sizes and look of them were great. I was expecting them to be thicker and
Positive,Negative,4.0,Good Dishwasher,Good Dishwasher. Sensor Cycle Works Well. As said Hot water going in is good. Use powdered detergent and Rinse Aid. In my experience using much soap is not requ
Positive,Neutral,5.0,"New control works great, but. . .","New control works great, but. . .. The new control was not identical to the original control, and its extra wire terminals threw me off at first.  It turns out "
Neutral,Negative,3.0,I liked being able to have a dishwasher,"I liked being able to have a dishwasher. I liked being able to have a dishwasher, but then it broke.  I called the company and they told me it was probably the "
Positive,Negative,5.0,How does anyone really rate filters?,How does anyone really rate filters?. I guess the first option one has is to go either with a generic or the brand name.  I guess the generics fit and probably 
Neutral,Negative,3.0,Save your money and replace poorly designed toaster,Save your money and replace poorly designed toaster. Lever worked OK. The problem seems to be the toaster. You have to put so much pressure on the lever that it
Positive,Neutral,5.0,Wonderful Product!,Wonderful Product!. I have had my washer for a month now and have used it about every other day. I feel that I have gotten my money's worth out of it already! i
Negative,Neutral,2.0,Not as good as they used to be...,Not as good as they used to be.... I've been using the Honeywell HC-14V1 Replacement Wicks for my third winter now and I've really noticed a drop off in the qua
Neutral,Negative,3.0,"No Described correctly, misleading","No Described correctly, misleading. In the product info it clearly says O.E.M.  but I received and aftermarket.  Would not have bought if it hadn't said O.E.M"
Positive,Negative,5.0,but the company was great to work with on returning,"but the company was great to work with on returning. Ultimately did not work in our freezer, but the company was great to work with on returning."
Positive,Neutral,5.0,Five Stars,Five Stars. ok
Positive,Negative,5.0,Dishwasher silver basket,Dishwasher silver basket. I love it. I wish I had checked with Amazon months ago. I know that they have everything!
Neutral,Positive,3.0,Three Stars,Three Stars. Will work fine
Negative,Neutral,1.0,The holes drilled in the strain relief clams were too ...,The holes drilled in the strain relief clams were too .... The holes drilled in the strain relief clamps were too small for the provided screws. Had to use my o
Positive,Negative,4.0,It lasted 1 year and 1 week,"It lasted 1 year and 1 week. Was the part I received genuine Whirlpool?  There was no identifiable branding on the box, instructions, or part.  I can confirm th"
Neutral,Negative,3.0,... screen one side work another side not work really bad and it said 870 CFM but it is just ...,... screen one side work another side not work really bad and it said 870 CFM but it is just .... Light on the screen one side work another side not work really
Neutral,Negative,3.0,Three Stars,Three Stars. Im sure it worked but it wasn't the issue to my problem
