label,MultinomialNB_pred,overall,summary,text_preview
Negative,Positive,1.0,Had to go to home depot to buy a better,Had to go to home depot to buy a better. Poorly made. Had to go to home depot to buy a better one
Negative,Positive,1.0,Not OEM,"Not OEM. At least the pair I received was NOT OEM, as it was advertised to be.
They fit - tightly - and did work though. For the first cycle of the washing mach"
Neutral,Negative,3.0,Three Stars,Three Stars. doesn't fit Kenmore perfectly but it does work just doesn't sit in and lay flat keep popping up
Positive,Negative,5.0,Maytag MHW8000AW Maxima 4.3 Cu. Ft. White Stackable With Steam Cycle Front Loading Washer,"Maytag MHW8000AW Maxima 4.3 Cu. Ft. White Stackable With Steam Cycle Front Loading Washer. First, I had a Maytag washer that lasted 20 years before I bought thi"
Neutral,Negative,3.0,"Nice fridge, bad shelf design","Nice fridge, bad shelf design. I purchased this product from Home Depot.

We ordered this fridge for the following reasons:
1. Price - It was a great price comp"
Neutral,Positive,3.0,Not A Good OEM Replacement,Not A Good OEM Replacement. I did not filter out the hardness of the water.  It's not a good replacement for the Whirlpool refrigerator OEM.  If you don't care 
Negative,Positive,2.0,... laundry detergent is needed the only thing I didn't like about this machine is that it does not spin ...,... laundry detergent is needed the only thing I didn't like about this machine is that it does not spin .... This machine is ok not a Lots of laundry detergent
Neutral,Positive,3.0,Three Stars,Three Stars. More pricey with out any added benefit.
Negative,Positive,1.0,Just line your old pans with foil,Just line your old pans with foil. Nice finish but would not fit.  Just use foil to line your old pans or buy aluminum pans at the hardware store and stay away 
Positive,Negative,4.0,"It Works, But Leaks","It Works, But Leaks. This unit works very well for drying clothes, but for some odd reason it leaks water and shuts-off randomly if used over 40min continually."
Neutral,Positive,3.0,Three Stars,Three Stars. Not sure whats going on.  Very noisy.  Getting another one.
Negative,Positive,1.0,Does't rehydrate very well,"Does't rehydrate very well. Idk what the problem was, these things usually work.. But this did not hydrate my tobacco at all."
Neutral,Positive,3.0,Three Stars,Three Stars. Works well
Negative,Positive,1.0,use two zip ties it works great and saves money,"use two zip ties it works great and saves money. Didn't work, sent it back, use two zip ties it works great and saves money."
Positive,Negative,5.0,Wrong item!,"Wrong item!. Okay folks, this is indeed item 00618001, but it's not the same item on the photo or TITLE.  This is for the tine row SUPPORT clip.  NOT the pivot "
Neutral,Positive,3.0,Doesn't perfectly match but it fixed my dryer,Doesn't perfectly match but it fixed my dryer. The picture shows the red label stat like the one that came off my dryer. I was looking for the 250-40*F. This de
Negative,Positive,2.0,Works fine.,Works fine.. Had dents all over it. Works fine.
Negative,Positive,1.0,Cheap washers,"Cheap washers. Rubber washers are a bit too small.  Had to move washers off of old filter on to new to stop leaking.
Works good after changeover.  You get what "
Positive,Negative,5.0,Five Stars,Five Stars. Buy the original one! Tried the aftermarket one and that was a total disaster.
Negative,Positive,2.0,Vent hood.,"Vent hood.. This was to big for my kitchen.  My fault for not taking better measurements.  It looked well made, just to big for me."
Neutral,Positive,3.0,"Works, but generic.","Works, but generic.. Received a Supco valve, not the OEM. Valve fits and works, but should have just ordered a generic and saved the price difference. Not worth"
Neutral,Negative,3.0,"It wasn't a bad machine, just bad upbringing","It wasn't a bad machine, just bad upbringing. I didn't buy this through Amazon. It came with the house, new, when we moved in 3.5 years ago. It actually ran ver"
Neutral,Positive,3.0,Three Stars,Three Stars. It was perfect fit. But it  took to long.
Positive,Negative,5.0,They're Awesome!,"They're Awesome!. We are 100% happy with this washer and dryer. In the end, we ended up buying it from Costco because the delivery and setup seemed better. I re"
Neutral,Negative,3.0,Repair how-to if drain is clogged (nD - doesn't drain),"Repair how-to if drain is clogged (nD - doesn't drain). This washer works ok, and is the only one I found that would fit in my apartment without having to remov"
Positive,Negative,4.0,Great improvement by GE,"Great improvement by GE. After reading many reviews about washing machines before making a decision, I decided to purchase this GE washer. I've always liked GE "
Negative,Positive,2.0,Two Stars,Two Stars. Did not fit the Frigidaire Gallery
Positive,Neutral,5.0,Works well for me,"Works well for me. This wall cap is at the end of 4"" duct work connected to an upstairs bathroom fan in my house, and does its job well. It comes with aluminum "
Neutral,Positive,3.0,... bought it and found it to be not as good all my clothes get tangled,... bought it and found it to be not as good all my clothes get tangled. I bought it and found it to be not as good all my clothes get tangled. The only thing i
Neutral,Positive,3.0,Three Stars,Three Stars. tangles hair
Neutral,Positive,3.0,over-priced rubber grate pads,over-priced rubber grate pads. tiny piece of rubber should cost less than a quarter. easy to install but am concerned how long they will last
Negative,Positive,1.0,This is not a satisfy product for me and I purchased the product from ...,This is not a satisfy product for me and I purchased the product from .... This is not a satisfy product for me and I purchased the product from the Sears Store
Neutral,Positive,3.0,The unit works that's really all that matters. This ...,The unit works that's really all that matters. This .... The unit works that's really all that matters.  This is my second valve though and I think it's a shame
Neutral,Negative,3.0,handy but less reliable,"handy but less reliable. Bought 1st one in 2004 to wash my baby clothes since I did not want to wash them in common laundry of our apartment.
Pro: Just small en"
Positive,Negative,4.0,"Looks okay, for the price...","Looks okay, for the price.... I asked customers who bought this item whether it comes with any rubber gasket and has been replied with ""yes"" (rubber one for abo"
Negative,Positive,2.0,Two Stars,Two Stars. Smaller than what I expected
Negative,Positive,2.0,Two Stars,Two Stars. did not fix my problem with refrigerator
Negative,Positive,2.0,Sears Model !,Sears Model !. Darn Same F7 Problem.
Neutral,Negative,3.0,"Received multiple damaged units, doesn't keep time, sucks air well.","Received multiple damaged units, doesn't keep time, sucks air well.. In some ways, I wanted to give it one or two stars, but the price and the fact that is exha"
Neutral,Positive,3.0,3 stars,3 stars. IT's not the best freezer here in Amazon but it's definitely not the worst one. It works well and has sufficient space for my stuff.
Negative,Positive,1.0,NO WIRES OR CORDS TO CONNECT,NO WIRES OR CORDS TO CONNECT. The fan is nice but I couldn't see that it had to be hook up from exhaustion from the ceiling connect to outside. I end up not usi
Neutral,Negative,3.0,I was excited to receive these filters. I had ...,"I was excited to receive these filters. I had .... I was excited to receive these filters.  I had to send them back however, because the opening in the filter t"
Negative,Positive,1.0,Link to better option here,"Link to better option here. Item arrived severely damaged. Packaging was abysmal and nearly impossible to repackage for return. Much better price, packaging, an"
Neutral,Positive,3.0,Cheaper than Home Depot,"Cheaper than Home Depot. Not much I can say, it seems to work fine. (at keeping the wife from spending money on bottled water) and Cheaper than Home Depot."
Negative,Positive,1.0,Within 40 days I have a replace filter sign on ...,Within 40 days I have a replace filter sign on .... Within 40 days I have a replace filter sign on my refrigerator. My original one took 6 months to get the rep
Positive,Negative,5.0,I'm Pleased,"I'm Pleased. I purchased this dishwasher from the local home improvement store, and I couldn't be happier with it so far.  I was initially looking at the&nbsp;<"
Neutral,Negative,3.0,A great idea. I hope they release an update for ...,A great idea. I hope they release an update for .... A great idea. I hope they release an update for the associated app soon. It's currently buggy and updates w
Negative,Positive,2.0,Does Not include instuctions for programming or anything,Does Not include instuctions for programming or anything. I would have gave this more ratings because it works fine making ice but when....when it wants too! Ho
Positive,Negative,5.0,I don't feel like it's fair to even give the product itself a ...,"I don't feel like it's fair to even give the product itself a .... So, I don't feel like it's fair to even give the product itself a star rating as I never got "
Neutral,Negative,3.0,Three Stars,Three Stars. Item was returned as it did not fit.  No issues with the return.
Negative,Positive,1.0,"This filter fits, but it won't enable the ""replace ...","This filter fits, but it won't enable the ""replace .... This filter fits, but it won't enable the ""replace water filter"" light to go off since it doesn't have t"
Neutral,Positive,3.0,There are some defects on the stainless steel and the ...,There are some defects on the stainless steel and the .... There are some defects on the stainless steel and the bottom rubber protector has had to be placed ba
Neutral,Positive,3.0,Three Stars,Three Stars. it work!
Neutral,Negative,3.0,Did not fit my freezer even though i looked up ...,"Did not fit my freezer even though i looked up .... Did not fit my freezer even though i looked up the info and it said it would but its OK, my boyfriend rigged"
Neutral,Positive,3.0,Got shorted on the parts,"Got shorted on the parts. It owuld be a perfect fit but they shorted me on parts. I did not get all of the small pieces for the inside so my facet still leaks
I"
Negative,Positive,2.0,Two Stars,Two Stars. Picture shows an OEM bag but part is NOT. Deceiving.
Positive,Negative,4.0,Works great for the motorhome,Works great for the motorhome. We have purchased two of these units in the last couple of years. The first one only lasted just under a year and we have had the
Neutral,Positive,3.0,Three Stars,Three Stars. Easy to install. Does what it's suppose to
Neutral,Positive,3.0,"Ok, same glass/pastic as others","Ok, same glass/pastic as others. ITS OK, but nothing extraordinary, just glass/plastic item.  This should be metal/glass some thing stronger for this price.
Pla"
Negative,Positive,1.0,One lonely thin cube,"One lonely thin cube. Loved this when I first got it, the first couple days it made great ice. Now I get one ice cube, not even a full ice cube. Wth? In the pho"
Negative,Positive,2.0,Two Stars,"Two Stars. Could taste something in the water, the authentic Samsung filter leaves water with no taste"
Negative,Positive,1.0,Failed fast,Failed fast. Not a Maytag brand replacement part.  Failed within one hour; barely enough to dry one load of clothes.
Negative,Positive,2.0,Not a good replacement,Not a good replacement. Some off brands are ok but this is not. It leaks and leaves puddle under tray. Look elsewere
Positive,Negative,5.0,A SUPER DIY REPAIR KIT,"A SUPER DIY REPAIR KIT. Our ice maker quit working after just 15 years of service.  LOL.  So as it is an old Whirlpool Refrigerator, this was the crossover mode"
Neutral,Positive,3.0,Cleans great. There is a constant leak from the faucet,"Cleans great. There is a constant leak from the faucet. Cleans great.  There is a constant leak from the faucet, though, and no amount of teflon tape or anythin"
Neutral,Positive,3.0,Three Stars,Three Stars. Fits ok. Felt could have been wider for a snugger fit.
Positive,Negative,5.0,Very impressed,"Very impressed. This stuff is great, normally I have a problem with the store bought crap, I've used Bed head manipulator, American crew fiber, a couple of the "
Neutral,Positive,3.0,Three Stars,Three Stars. Cannot tell much difference.
Positive,Negative,5.0,it was the bad switch all along,it was the bad switch all along. This one works!!! Previously bought a non-whirlpool after market switch and it failed with in three weeks. It is not worth the 
Neutral,Negative,3.0,Three Stars,"Three Stars. Did not fit but was taken back.
Still had washer apart to learn that lesson.
Not fun"
Positive,Neutral,5.0,I am so happy with the purchase of the Nina Soft Spin Dryer!,I am so happy with the purchase of the Nina Soft Spin Dryer!. I live in an apartment building with a communal laundry room. Over the years I have grown increasi
Neutral,Positive,3.0,ok,"ok. this item replace my original roller... its ok... it still make noise when it start up , but after about 2 minutes it runs ok... not what i wanted.. still a"
Neutral,Positive,3.0,We made it fit,We made it fit. I bought this for my parents stove. It's a whirlpool and we had been having a tough time finding knobs. None of the plastic caps fit our stove b
Negative,Positive,1.0,Bad fuse. Baaaaaad fuse.,Bad fuse. Baaaaaad fuse.. This fuse lasted about a month. I read and ignored other negative reviews choosing price over quality. Bad idea. You should buy a doze
Negative,Positive,1.0,Be careful,"Be careful. Didn't fit the washer machine,  trying to see why is the model is the same,  delivery and packaging was good but the product wasn't right."
Negative,Positive,1.0,it did not work,it did not work. sorry to say we were unable to install the new filter.  perhaps I ordered the wrong filter for our Kenmore Elite.  Hal S
Positive,Negative,5.0,After some troubleshooting have ice again!,"After some troubleshooting have ice again!. I purchased this item from the reseller ""DeepDiscountsco"".  I initially had a problem with it where the shutoff arm "
Neutral,Positive,3.0,It's not easy but once on,"It's not easy but once on. The spring was too small for my door but I managed to force it on.  It's not easy but once on, it worked great."
Negative,Positive,1.0,One Star,One Star. It's worked great.
Negative,Positive,1.0,One Star,One Star. Had good water pressure . Replaced with this one now no pressure
Neutral,Negative,3.0,Not for all GE Stoves.,Not for all GE Stoves.. 2 of these fit my stove. One large one and one small one do not sit right in the stove. I probably needed to order the Universal Porcela
Negative,Neutral,1.0,Weak sheet metal with subpar finish,Weak sheet metal with subpar finish. The packing is not sufficient to protect this dainty piece from damage.  I expected this to be as it is described- a wall p
Negative,Positive,2.0,not perfect,not perfect. One of the filters was cut too small rendering it ineffective. It was my first order so i cannot comment on the probability of his happening again.
Positive,Negative,5.0,No leaks!!,"No leaks!!. Highly recommend!  I bought the cheap ones instead of these in an attempt to save a large amount of money, but every one of the filters in that thre"
Neutral,Positive,3.0,Mi lavadora,"Mi lavadora. Hola, not en mi lavadora la sensacin de corriente elctrica en la secadora por lo que tengo temor lo pude comprobar en 2 ocaciones en la primera y n"
Neutral,Positive,3.0,"Works fine, but I wish the shipping were a bit ...","Works fine, but I wish the shipping were a bit .... Works fine, but I wish the shipping were a bit faster. I ended up having to spend thanksgiving without a wor"
Positive,Negative,5.0,Difi dishwasher filter,Difi dishwasher filter. Got this filter due to sediment in our lines..installed it easily but noticed a puddle in the morning. Put extra plumbers tape on one of
Negative,Positive,2.0,Not what expected,"Not what expected. Prior to purchasing these filters, I had read that they would eliminate the white dust that is present when these filters are not used.
The f"
Negative,Positive,2.0,Four Stars,"Four Stars. works perfectly, could be a bit thicker material.
Update:
I have used this for less than 6 months and disappointment is where I am now.
While the fi"
Negative,Positive,1.0,TAKES AN HOUR TO DRY !!,"TAKES AN HOUR TO DRY !!. Just to warn you that it takes an hour to dry 4 bath towels.
Takes over 80 minutes when it's filled full with the following cotton piec"
Neutral,Positive,3.0,Works but not as strong as it could be,Works but not as strong as it could be. The magnetic strength was not very good but it was adequate to keep the seal.
Neutral,Positive,3.0,Great product,"Great product. It is a great microwave, however it came damaged on the top right hand corner and the door won't open and close easily.  But it seemed like a lot"
Neutral,Positive,3.0,Hard to find in town....,Hard to find in town..... It's about like rating a paper clip but here goes. This one did fit my Cub Cadet Weed trimmer and I could NOT find one in town so I bo
Neutral,Positive,3.0,WORKS BUT REALLY REALLY NOISY,WORKS BUT REALLY REALLY NOISY. When i got it it seemed to be working fine but about a week later it starting getting so loud i put it outside. It still making i
Neutral,Negative,3.0,Did not fit.,Did not fit.. Did not fit my stove - not sure where the error came in. Could have been me but not sure at this point
Neutral,Positive,3.0,Three Stars,Three Stars. Good product
Negative,Positive,1.0,Where's the rest of it?,Where's the rest of it?. I had the same issue as a previous buyer. The product contained only four pieces (rollers) unlike the eight pieces described in the Q&A
Neutral,Negative,3.0,"Apparently, this is (according to GE's website) the splash ...","Apparently, this is (according to GE's website) the splash .... Apparently, this is (according to GE's website) the splash guard made for my ancient Disposal.  "
Neutral,Positive,3.0,It's a knob. It fit. It turns. ...,It's a knob. It fit. It turns. .... It's a knob.  It fit.  It turns.  What else can I say?
Neutral,Positive,3.0,GOOD PRODUCT,GOOD PRODUCT. Product was as described and covered the damaged tines.  reat price for an easy fix.  i would recommend this to anyone to save on buying a new rac
Neutral,Positive,3.0,Three Stars,Three Stars. It worked.
Positive,Negative,5.0,Extech 445815 is quick to adjust and accurate,Extech 445815 is quick to adjust and accurate. I just purchased the Extech 445815 and took the meter outside after opening it.  Weather channel has us at 48F 22
Positive,Negative,5.0,"Large, Quiet and Good Price","Large, Quiet and Good Price. Purchasing large house appliance is always a difficult decision. As for cloth washers, I have not seeny any brand, or any particula"
Neutral,Positive,3.0,:-(,":-(. Came without a cap, so i had to transfer it to another bottle right after i opened it."
Negative,Positive,2.0,Two Stars,Two Stars. Not the right one for my oven. I need to return it.
Negative,Positive,1.0,Not like the original!,Not like the original!. They did no t perform like the original.  My water flow was cut in half.  Bad decision.
Neutral,Positive,3.0,poor value,poor value. It disintegrates after a short use.
Neutral,Negative,3.0,Didnt fit.,Didnt fit.. This didn't fit my freezer. I have a kenmore freezer and it should have fit but didnt.
Positive,Neutral,4.0,"Good trim, but the cabinet maker didn't use it","Good trim, but the cabinet maker didn't use it. He, instead, formed a cover with wood, so I didn't use it but held on to it too long to return it. It's for sale"
Negative,Positive,1.0,Installation was easy once you climbed into the freezer,Installation was easy once you climbed into the freezer. I ordered and received a new freshly packed Icemaker Assembly. Installation was easy once you climbed i
Neutral,Negative,3.0,Not worth the money...,Not worth the money.... People said this unit would last but we've been having problems with it for over 8 months and now it won't work at all....
Neutral,Positive,3.0,The knob was as described however there are several models ...,The knob was as described however there are several models .... The knob was as described however there are several models of this item and all have the same pa
Neutral,Positive,3.0,I basically chose the Whirlpool brand which fit my fridge at the best price. It works,"I basically chose the Whirlpool brand which fit my fridge at the best price. It works. There are so many options for these filters, it's nearly impossible to ra"
Positive,Negative,5.0,5 Stars all the way!,5 Stars all the way!. I've seen this on many different Off Grid type TV shows and when my Washing Machine broke I decided I was going to give this a try before 
Neutral,Positive,3.0,Three Stars,Three Stars. Arrived with a dent in one of the small covers.
Positive,Negative,5.0,"Waste King, Top Rated","Waste King, Top Rated. We didn't use these parts, but order them as a back  up when we ordered the Waste King. Waste King products are worth ordering."
Negative,Positive,1.0,One Star,"One Star. I ordered the 4 coil and received the 3 coil.  It works, but I'm not impressed:-)"
Negative,Positive,1.0,The humidity values are way off. I've never seen ...,The humidity values are way off. I've never seen .... The humidity values are way off. I've never seen a reading below 41% even in a very dry heated house in wi
Positive,Neutral,5.0,It's small but it exceeded my expectations!,It's small but it exceeded my expectations!. I was dubious at best.  I have worked residential construction most of my life and know that there is a big differe
Negative,Positive,2.0,ineffective,ineffective. I don't think it works.
Negative,Positive,2.0,Over Programmed,"Over Programmed. My Maytag Centennial has is way over the top over programmed. It automatically empties if I try to soak anything overnight, the lid locks, it m"
Negative,Positive,2.0,Two Stars,Two Stars. Works fine. Price seems high for what it is.
Neutral,Positive,3.0,"This arrived quickly, was more than I wanted to ...","This arrived quickly, was more than I wanted to .... This arrived quickly, was more than I wanted to spend, and came with the entire upper rack. All I needed wa"
Positive,Negative,5.0,You won't regret it!,You won't regret it!. No more animals coming through the vent!  I check it every month & very minimal lint collects.  Well worth it!
Neutral,Positive,3.0,we ended up buying the wrong board,we ended up buying the wrong board. Fast shipping.. but we ended up buying the wrong board. a lot of fridges today have all those fancy boards but they most lik
Negative,Positive,1.0,Purchased for a replacement for my refrigerator it limits the ...,Purchased for a replacement for my refrigerator it limits the .... Purchased for a replacement for my refrigerator it limits the water pressure causing the ice 
Neutral,Positive,3.0,Cool Drinks,"Cool Drinks. Doesn't get very cold at all.  Cool drinks for sure, but not frosty cold by any means."
Neutral,Negative,3.0,does not work right,"does not work right. with the lid open the water fills, but starts with the lid still open and will run  with the lid open or closed so this switch is not safe."
Neutral,Positive,3.0,Still didn't work,Still didn't work. The dishwasher still didn't work but it may not be the parts fault. It may be something else. The part was exactly what we ordered.
Negative,Positive,2.0,Two Stars,Two Stars. Ok not much better than round brush and blow dryer. Just more expensive
Neutral,Positive,3.0,I'm sure it works if it fit my dryer! ...,I'm sure it works if it fit my dryer! .... I'm sure it works if it fit my dryer! Identical coil but the bracket it's connected to is marginally different so end
Neutral,Positive,3.0,Three Stars,Three Stars. the filter works but the water tase have to be aquired over time.
Neutral,Positive,3.0,I feel like there's a fish tank next to me,I feel like there's a fish tank next to me. Gurgles constantly. I feel like there's a fish tank next to me.
Neutral,Positive,3.0,"Looks nice, switches are cheap","Looks nice, switches are cheap. If I had reviewed this a month ago I would have given it 4 stars.  However like many others I just had a switch failure, my ligh"
Neutral,Positive,3.0,Three Stars,Three Stars. Not as good as the original lint screen.
Positive,Negative,5.0,Water and ice machine,Water and ice machine. Takes many hours take make the ice bin full. Slow making ice. If your having more than 1 cup to fill you'll be waiting hours. My stars sh
Negative,Positive,2.0,Two Stars,Two Stars. I ordered two and only received one
Neutral,Negative,3.0,"Works/fits, but requires special measures to avoid loosening.","Works/fits, but requires special measures to avoid loosening.. Knocked two stars off of rating because of unneeded aggravation.

Background: This nut is a requi"
Neutral,Positive,3.0,It is usable but not as good as the original,It is usable but not as good as the original. This replacement uses a different configuration than the original. It is much shallower and does not hold nearly a
Positive,Negative,5.0,Saved me from buying a new fridge.,Saved me from buying a new fridge.. Our 1994 Kenmore refrigerator  quit cooling.  I could hear it try to start but it would immediately shut back down.  I recog
Negative,Positive,2.0,"The first one we purchased was good, this second one does nothing to the water","The first one we purchased was good, this second one does nothing to the water. The first one we purchased was good, this second one does nothing to the water. "
Negative,Positive,2.0,Two Stars,Two Stars. It was the right fit but after a couple of months of use it quit working.
Negative,Positive,2.0,Two Stars,Two Stars. Tastes just like chlorinated tap water... time to switch brands
Neutral,Negative,3.0,I would like to return this item,"I would like to return this item. I would like to return this item. It is in it's original package, unopened. Realized after ordering that it would not be long "
Neutral,Positive,3.0,It was a great wood protection idea but it is very visible & ...,It was a great wood protection idea but it is very visible & .... It was a great wood protection idea but it is very visible & doesnt match my brown stain cabin
Positive,Negative,5.0,So Quiet You'll Never Know It's Running! REALLY!,"So Quiet You'll Never Know It's Running! REALLY!. I bought dishwashers that tout their silent operation and found that, while they were more quiet than the unit"
Negative,Positive,1.0,Lack of ice from the ice maker.,Lack of ice from the ice maker.. It claimed it makes up to 20lbs. of ice daily. Maybe 2lbs. if you are lucky. Not very happy with this product.
Positive,Negative,5.0,Unreal....,Unreal..... I used this product on a Kenmoore HET2 front load washer located on a second floor. During the spin cycle it would shake the entire home.  I was abo
Neutral,Positive,3.0,Just as described.,Just as described.. Fit perfectly. For my Kenmore refrigerator. Later found same style for my refrigerator half the price. Check other site's before making fina
Positive,Negative,5.0,"Very weak broke,  the whole thing broke from top screw and from bottom screw,","Very weak broke,  the whole thing broke from top screw and from bottom screw,. Was very careful opening door, the whole thing broke from top screw and from bott"
Negative,Positive,1.0,It is a whirlpool not Kenmoore. The model matches mine but is not,It is a whirlpool not Kenmoore. The model matches mine but is not. It is nothing like my kenmoore. Make sure it looks identical to yours. If you question it don
Positive,Negative,4.0,"Good Kegerator, Bad Faucet","Good Kegerator, Bad Faucet. This kegerator does the job.  We have had it for about a year and go through a keg every other week during football season.  The rea"
Neutral,Negative,3.0,"The main thing I was disappointed in, was that this does not seem to ...","The main thing I was disappointed in, was that this does not seem to .... It seems to be working okay so far, but does not sit perfectly into the old housing. I"
Neutral,Positive,3.0,Yes!,Yes!. Perfectly adequate alternative to the outrageously expensive Sub-Zero OEM part.
Negative,Positive,1.0,Didn't last a year,Didn't last a year. Didn't last a year.
Neutral,Positive,3.0,Three Stars,Three Stars. Got a new dryer instead!  lol
Neutral,Positive,3.0,Acceptable given price,Acceptable given price. Bearings are functionally okay.  Wrong nuts provided to fit shaft (fine thread shaft provided with course thread nuts) and different mis
Neutral,Positive,3.0,Good Drip Pans,Good Drip Pans. Not a thing wrong with these drip pans! My only problem is my sister did not have the right stove. I bought the right ones and they work well!!!
Positive,Neutral,4.0,Definitely Does The Job,Definitely Does The Job. I purchased this controller to work with a chest freezer for a fermentation chamber.  I will start by saying that this unit does contro
Neutral,Negative,3.0,Three Stars,Three Stars. Did not work on my fridge. Don't know why. Vendor processed refund.
Negative,Positive,1.0,Water taste bad,Water taste bad. This filters make the water taste bad
Negative,Positive,1.0,Weak,Weak. Very weak and easy to crush. Not a good durable product.
Neutral,Positive,3.0,Three Stars,Three Stars. Works as described.
Negative,Positive,1.0,Dont work,Dont work. This item never worked I can't bake at all because of it
Neutral,Positive,3.0,Product description confusing,"Product description confusing. Product description confusing. I assumed I would would get what was pictured. Only came with bearing and slides, no felt. There w"
Negative,Positive,2.0,"Qty 1, not two. Otherwise good.","Qty 1, not two. Otherwise good.. Product skipped quickly. However, only one ships, not two, as seen in the pic. You may say, ""but you only use one anyway."" True"
Neutral,Positive,3.0,Good replacement.,Good replacement.. It's an egg tray. What do you expect? It holds eggs...LOL
Neutral,Positive,3.0,50-50,"50-50. The induction plate is extremely fast to heat up, but the pan itself is not the best quality. Dont put oil in it (even though we need to cook) unless nec"
Neutral,Positive,3.0,it looks like and works like the original,"it looks like and works like the original. Seemed to fit a bit tightly onto the post.  I don't think it seated completely, but I was afraid to push any harder f"
Negative,Positive,1.0,Not that durable.,Not that durable.. It's not as durable as I expected. It was shipped damaged and the wheel stripped out 2months later. I should've returned back. When it came i
Neutral,Positive,3.0,The sizes and look of them were great. I was expecting them to be thicker and ...,The sizes and look of them were great. I was expecting them to be thicker and .... The sizes and look of them were great. I was expecting them to be thicker and
Positive,Negative,4.0,Good Dishwasher,Good Dishwasher. Sensor Cycle Works Well. As said Hot water going in is good. Use powdered detergent and Rinse Aid. In my experience using much soap is not requ
Neutral,Negative,3.0,I liked being able to have a dishwasher,"I liked being able to have a dishwasher. I liked being able to have a dishwasher, but then it broke.  I called the company and they told me it was probably the "
Neutral,Negative,3.0,Save your money and replace poorly designed toaster,Save your money and replace poorly designed toaster. Lever worked OK. The problem seems to be the toaster. You have to put so much pressure on the lever that it
Positive,Negative,5.0,Wonderful Product!,Wonderful Product!. I have had my washer for a month now and have used it about every other day. I feel that I have gotten my money's worth out of it already! i
Negative,Positive,2.0,Not as good as they used to be...,Not as good as they used to be.... I've been using the Honeywell HC-14V1 Replacement Wicks for my third winter now and I've really noticed a drop off in the qua
Neutral,Negative,3.0,"No Described correctly, misleading","No Described correctly, misleading. In the product info it clearly says O.E.M.  but I received and aftermarket.  Would not have bought if it hadn't said O.E.M"
Positive,Negative,5.0,but the company was great to work with on returning,"but the company was great to work with on returning. Ultimately did not work in our freezer, but the company was great to work with on returning."
Neutral,Positive,3.0,"OK, But.......","OK, But........ Filters a bit too tall for enclosures (which are too fragile themselves on my machine.). Wish the specs would be tightened up on the filters so "
Negative,Positive,1.0,not a good product,"not a good product. This is a 2 year life washer at best.  After one year you might get error codes, then the electronics board will fail.  Never by this produc"
Negative,Positive,1.0,Wont last more than a few months.,"Wont last more than a few months.. Overpriced and only lasts a few months.  Buy a cheaper one and get an extended war, you sill need it."
Neutral,Positive,3.0,Three Stars,Three Stars. Will work fine
Negative,Positive,1.0,The holes drilled in the strain relief clams were too ...,The holes drilled in the strain relief clams were too .... The holes drilled in the strain relief clamps were too small for the provided screws. Had to use my o
Negative,Positive,2.0,Not as good as some,Not as good as some. Takes a lot of water to pass through them to get the carbon taste to go away.  More than other filters.
Positive,Negative,4.0,It lasted 1 year and 1 week,"It lasted 1 year and 1 week. Was the part I received genuine Whirlpool?  There was no identifiable branding on the box, instructions, or part.  I can confirm th"
Negative,Positive,2.0,Not that great,Not that great. Doesn't stay up right very well
Neutral,Positive,3.0,... screen one side work another side not work really bad and it said 870 CFM but it is just ...,... screen one side work another side not work really bad and it said 870 CFM but it is just .... Light on the screen one side work another side not work really
Neutral,Positive,3.0,Workable but not a good fit,Workable but not a good fit. This item took some jury rigging since it is opposite hand (wrong flow direction) to the original. The old solenoid's mounting brac
Neutral,Positive,3.0,Three Stars,Three Stars. Im sure it worked but it wasn't the issue to my problem
Positive,Negative,5.0,Excellent step up from the original OEM-installed kit - appears to overcome plastic fatigue/wheel clip failure,Excellent step up from the original OEM-installed kit - appears to overcome plastic fatigue/wheel clip failure. My original Kenmore Elite upper rack adjuster wa
Neutral,Positive,3.0,Three Stars,"Three Stars. worked well for like 2 years, then broke out of no where"
Negative,Positive,2.0,Two Stars,Two Stars. Doesn't quite fit right
Neutral,Positive,3.0,It is a good product. it works fine for me,"It is a good product. it works fine for me. It is a good product. it works fine for me, and I installed it my self, just followed the video they have and put it"
Neutral,Negative,3.0,Give it time,"Give it time. At first I was very disappointed as the water was quite dirty looking.  After running about 2 gallons through the water looked clear, but I could "
Negative,Positive,1.0,Purchased for my aunt and it didn't stay on the ...,"Purchased for my aunt and it didn't stay on the .... Purchased for my aunt and it didn't stay on the shower wall. By the way, there were no installation instruc"
Neutral,Negative,3.0,Burned out after a month,Burned out after a month. I had to order 2 for the bulbs underneath the microwave above the stove. One has burned out after a month. Not sure if it's the type o
Neutral,Positive,3.0,cheaper than the paper bags,cheaper than the paper bags. Ordered these because the paper ones are getting hard to find locally and expensive to order.  These are thick and seem to hold up 
Neutral,Positive,3.0,Three Stars,Three Stars. does its job
Negative,Positive,1.0,difficult to repair.,"difficult to repair.. i have one like this, its a very difficult range to repair, i'm currently having problems with mine. According to several technicians that"
Neutral,Negative,3.0,They seem to do the job. Disappointing though that ...,They seem to do the job. Disappointing though that .... They seem to do the job. Disappointing though that they don't come with any documentation stating whethe
Neutral,Positive,3.0,Good but to expensive,Good but to expensive. Latch was perfect fit and worked as new. But I would by a different brand next time du to it is way to expensive for just one latch. I pu
Neutral,Positive,3.0,Overpriced,Overpriced. It is a little less glossy and not as deep a black color as the original but it does fit perfect.  I would give it 4 stars if it were a more reasona
