label,GradientBoosting_pred,overall,summary,text_preview
Positive,Negative,5.0,Get one!,"Get one!. Snaps right in, should have bought it years ago."
Positive,Negative,5.0,It saves me so much time...,It saves me so much time.... I recommend the Edgestar to anyone. I scrub the dishes before loading and I only use the 45min wash cycle about once or twice a wee
Neutral,Positive,3.0,Three Stars,Three Stars. NEEDS TO BE BIGGER WRITING SPACE!
Negative,Positive,1.0,The 8 inch was a perfect match and works perfectly,The 8 inch was a perfect match and works perfectly. I purchased a 6 inch and an 8 inch cooktop element for my stove using the order number where I purchased my 
Negative,Positive,1.0,only one box not 180 boxes!!!,"only one box not 180 boxes!!!. Scam, you will only get one random box of bags, not the promised 180 boxes."
Neutral,Positive,3.0,Three Stars,Three Stars. it's okay
Negative,Positive,1.0,Good looking stovetop but UNSAFE,Good looking stovetop but UNSAFE. Update: after three years and seven knobs it is safe to say this is an unsafe product. Today my knob broke while the burner wa
Neutral,Positive,3.0,It worked great to begin with then hasn't worked great since,It worked great to begin with then hasn't worked great since. I use this item 24 hours a day.  It worked great to begin with then hasn't worked great since.  Th
Positive,Negative,4.0,Don't Judge A Toy By How It Looks,Don't Judge A Toy By How It Looks. This toy looks rather normal but turns out to be the longest lasting toy my dog has ever had. Bought this last year and my do
Positive,Negative,5.0,"Missing faceplate, different from product picture","Missing faceplate, different from product picture. I ordered two of these, and neither one looks quite like the product photo. There is a plastic faceplate whic"
Negative,Positive,1.0,Filter leaks.,Filter leaks.. This water filter leaks. Wouldn't recommend.
Negative,Positive,1.0,Same Old Story...,"Same Old Story.... Just received mine and it is not at all what is pictured or described. No connectors, just overly hard tubing.  I am debating whether to go t"
Neutral,Positive,3.0,It might work,It might work. Can't be sure if it's really effective but I guess I like to believe it is.
Neutral,Positive,3.0,hmm.. in warm weather (our fridge is in ...,"hmm.. in warm weather (our fridge is in .... hmm.. in warm weather (our fridge is in the garage) one of the pieces unstuck and fell off.  It stuck back on, but "
Negative,Positive,1.0,"Too Cheap, makes ice maker stop working.","Too Cheap, makes ice maker stop working.. These filters are cheap and for water seem to work well.  However every time I install these filters, my ice maker sto"
Negative,Positive,2.0,"Great look,  but that's it","Great look,  but that's it. Have had it for a couple years now.  Wife is always complaining.  Gas leaks under the cabinet (changed lines and hook ups multiple t"
Neutral,Negative,3.0,Can't use the water on my fridge,Can't use the water on my fridge. I bought this because the water dispenser on my fridge is horribly slow.  I thought the filter would be bypassed and I could j
Negative,Positive,1.0,A really cheaply made product. Avoid,A really cheaply made product. Avoid. Arrived with the ends oblong out of the box. Never could get it to fit properly.  The connecting edges are really flimsy a
Neutral,Positive,3.0,Not the Wisest of Designs,"Not the Wisest of Designs. Notice how close the center burner is to the controls.  There might be a reason or two why this product is on clearance, but it looks"
Neutral,Positive,3.0,Over all I'm happy. Price was reasonable,"Over all I'm happy. Price was reasonable. Over all I'm happy. Price was reasonable.  Few minor things.
Installation was hard. The slide out glass doesn't align "
Neutral,Positive,3.0,It works,"It works. Not impressed with the overall Skuttle design for the humidifier, but it works and I've replaced mine easily a few times over the last 10 years."
Negative,Positive,2.0,Two Stars,Two Stars. color was more of a yellow compared to my almond stove.
Negative,Positive,2.0,SPWD1470C,"SPWD1470C. I use a Summit Professional Washer Dryer, model 1470C. The washer function works great. The dryer stopped working after about a year and it took the "
Positive,Negative,4.0,It was good..but it didn't fit,"It was good..but it didn't fit. This item is good, had to return it because it didn't fit. Quality is good."
Positive,Neutral,5.0,"They work, OK?","They work, OK?. Washer hoses that work  Enough said"
Neutral,Positive,3.0,Maybe they should come up with a better system to keep grate from scratching stove,Maybe they should come up with a better system to keep grate from scratching stove. Way overpriced for what you get.  Tube of Silicone and few rubber feet. shou
Negative,Positive,1.0,Defective Part,"Defective Part. First part received was defective.  Since seller would not replace it, I have no way of knowing if this is a good product."
Neutral,Positive,3.0,decent,"decent. I had to return the 1st one. Product seems to have ""machine"" scratches on it. The second one was better, so I decided to keep it, but it isn't perfect, "
Positive,Negative,5.0,Phenomenal product!,Phenomenal product!. It's pretty rare for me to be as impressed with a chance-purchase as I am with this one.  We own a large-capacity cool-mist humidifier with
Neutral,Positive,3.0,Three Stars,Three Stars. OK
Neutral,Positive,3.0,Three Stars,"Three Stars. it works, but can only turn clock wise. My old one could turn counter clock wise."
Negative,Positive,1.0,Dish Monster,"Dish Monster. We replaced a 15 year old dishwasher with this new LG...what a mistake.  It cleans OK, but is difficult to load and makes horrible noises.  The ki"
Negative,Positive,1.0,"Although the fan worked for my needs, the 3 ...","Although the fan worked for my needs, the 3 .... Although the fan worked for my needs, the 3 week wait for the item when i paid for Express shipping shows lack "
Negative,Positive,1.0,Electronics Do Not Work,Electronics Do Not Work. I am now on my third oven KEBS279BSS in a year.  Kitchen Aid has admitted back in April 2013 that there was a problem with the electron
Negative,Positive,1.0,Advertised like new. Compressor was not working on arrival,Advertised like new. Compressor was not working on arrival. Advertised like new. Compressor was not working on arrival. Got a full refund with no problem.
Negative,Positive,2.0,Seems like they always rust,Seems like they always rust. Seems like they always rust. I hav apartments and it seems like every time a tenant moves Im replacing them.
Neutral,Positive,3.0,Three Stars,Three Stars. Good
Neutral,Positive,3.0,Three Stars,Three Stars. This come broke went I was connecting to the electricity
Negative,Positive,2.0,Two Stars,Two Stars. Did not work.
Neutral,Negative,3.0,Wrong Part,"Wrong Part. After many (4) attempts to find the correct part through various vendors, even directly through Whirlpool, the wrong parts were sent 4 times. Whirlp"
Neutral,Positive,3.0,Steam fresh a joke,Steam fresh a joke. Before purchasing this washer/dryer combo I owned a Whirlpool duet at my previous home.  I thought I would try this LG since it got good rev
Neutral,Positive,3.0,Acceptable replacement but not perfect,Acceptable replacement but not perfect. This replacement part works ok but not perfectly.  I'm a bit disappointed by the shut-off arm which is quite cheaply mad
Negative,Positive,2.0,unpleasant experience,"unpleasant experience. I bought this one two weeks ago. It works only for a week then it fails again.
I don't know whether it is because of faulty kit or faulty"
Negative,Positive,2.0,They look good on the stove,"They look good on the stove. They look good on the stove, except for one of the small ones which was bent straight down.  I was able to bend it back up, but som"
Negative,Neutral,1.0,noisy,"noisy. its ok,  slow response from air king for a problem.  it is not quiet and the light is quite dim.  would not recommend."
Negative,Positive,2.0,This product is too short to fit the space in ...,This product is too short to fit the space in .... This product is too short to fit the space in the humidifier for which it claims to be the replacement wick f
Neutral,Positive,3.0,Three Stars,"Three Stars. Not the same durability, but for the price it worked my dryer now dries our clothes"
Neutral,Positive,3.0,Cannot Wash,Cannot Wash. The handles are great but stains easily and it falls apart after washing.
Positive,Neutral,4.0,It seems to work good and is about one degree different then another one ...,It seems to work good and is about one degree different then another one .... It seems to work good and is about one degree different then another one i use so 
Neutral,Positive,3.0,Three Stars,"Three Stars. Fits great, but wears out quickly."
Positive,Negative,4.0,I bought two and they are both reading pretty close so they work and that's good,I bought two and they are both reading pretty close so they work and that's good. I bought two and they are both reading pretty close so they work and that's go
Neutral,Positive,3.0,This product is not the correct replacement for my Samsung ...,This product is not the correct replacement for my Samsung .... This product is not the correct replacement for my Samsung Refrigerator!  The replacement does n
Negative,Positive,1.0,Wouldn't fit,"Wouldn't fit. Item is good price for pk of 3. Seems to be good quailty. However, I couldn't get it to lock into place. I cross referenced the part numbers and i"
Positive,Negative,5.0,"don't know what the one star customers talking about, ...","don't know what the one star customers talking about, .... don't know what the one star customers talking about, I have my Miele for 17 years, and moved it with"
Negative,Positive,1.0,"Cheap, plastic handle made in China","Cheap, plastic handle made in China. For the price of this I could just sand down and repaint the original handle where the paint just chipped off."
Negative,Positive,1.0,Went cheap to get good deal. Came home to kitchen flooded,Went cheap to get good deal. Came home to kitchen flooded. Went cheap to get good deal. Came home to kitchen flooded. Cost of fixing my kitchen floors far outwe
Negative,Positive,1.0,Don't recommend purchasing,Don't recommend purchasing. not impressed - a lot of black carbon was released - had to flush several gallons of water.  Don't recommend purchasing
Neutral,Positive,3.0,I wasted 11 glasses of water before use but it taste ...,I wasted 11 glasses of water before use but it taste .... i replaced in my kenmore refrigerator. I wasted 11 glasses of water before use but it taste is not as 
Neutral,Positive,3.0,Not as easy to use as other per say,Not as easy to use as other per say. This product is so-so. Not as easy to use as other per say.
Neutral,Negative,3.0,Dented & broken,Dented & broken. Arrived with dents and broken pieces.
Neutral,Positive,3.0,These seem to be good quality hoses but the inside diameter is a bit ...,These seem to be good quality hoses but the inside diameter is a bit .... These seem to be good quality hoses but the inside diameter is a bit smaller thus taki
Neutral,Positive,3.0,OK but floppy,"OK but floppy. The quality is good.  However, compared with genuine ReliOn filter, this replacement filter does not have central metal support, so it is kind of"
Positive,Neutral,5.0,Five Stars,Five Stars. not bad!
Neutral,Positive,3.0,Three Stars,"Three Stars. Love it, wish it had more speeds like soft or slow,  very powerful. Love it though!"
Neutral,Positive,3.0,It works fine if the instructions are being followed!,It works fine if the instructions are being followed!. The filter will work fine and last long time only if special care of the operation of the humidifier is i
Positive,Negative,5.0,Was the proper fit for our fridge. It does ...,"Was the proper fit for our fridge. It does .... Was the proper fit for our fridge. It does have the two rails on top (instead of one), which is the one we neede"
Negative,Positive,2.0,however it is not the best design or the best built or the best value ...,however it is not the best design or the best built or the best value .... The biggest liability of this unit is the handle to operate the door.  It is much too
Negative,Positive,1.0,I BELEIVE ITS ALL A LIE,"I BELEIVE ITS ALL A LIE. IN MY OPINION..., the item I received is NOT AP5328388 Genuine LG Factory Original. IT IS NOT AN LG PART. IT HAS THE NUMBERS OF A REPLA"
Negative,Positive,1.0,I bought stainless steel hookups for half the price and they worked great.,"I bought stainless steel hookups for half the price and they worked great.. Maybe these hoses work for some things, but I bought these for a brand new portable "
Neutral,Positive,3.0,Three Stars,"Three Stars. fit well in my sink, though I did find it had fallen all the way in one time!"
Negative,Positive,1.0,not a good product.,not a good product.. O-ring on small (important) parts does not fit where the water drains....not a good product.
Positive,Negative,5.0,Such a waste of water,"Such a waste of water. Have to stick with these. Same as what they sell on the whirlpool site. Little cheaper here. Tried some other off brand kinds, and had to"
Neutral,Positive,3.0,Three Stars,Three Stars. not as fast as original equipment
Neutral,Positive,3.0,Three Stars,Three Stars. ok
Negative,Positive,2.0,it does a wonderful job. This eliminated the excessive foaming caused by ...,"it does a wonderful job. This eliminated the excessive foaming caused by .... When it works, it does a wonderful job.  This eliminated the excessive foaming cau"
Negative,Positive,1.0,"cheap because not as good filtration, its a simple charcoal filter","cheap because not as good filtration, its a simple charcoal filter. Not NSF certified, cheap because not as good filtration, its a simple charcoal filter."
Positive,Negative,5.0,"Solid construction, genuine product","Solid construction, genuine product. This is the real deal replacement product.  It's metal mesh with a special coating.  I sprayed it with anti-bacterial/mold "
Negative,Positive,1.0,Died quick,Died quick. Died in 35 days
Negative,Positive,2.0,Two Stars,Two Stars. Does not keep beverages very cold
Positive,Negative,4.0,Good performance and aesthetic.  Installation is a real challenge though!,"Good performance and aesthetic.  Installation is a real challenge though!. Once you get past the mounting task, it's worth it!  But first, it has to be mounted."
Neutral,Positive,3.0,Three Stars,"Three Stars. DO LIKE IT, BUT IT DOES NOT KEEP THINGS COLD ENOUGH"
Neutral,Positive,3.0,Does its job,"Does its job. Not alot to say it a piece of plastic, It will help me keep my kitchen looking clean so I'm happy"
Neutral,Positive,3.0,the washer now works fine.,"the washer now works fine.. This is the only kit sold for Whirlpool washers. I watched every single video i could see, and the parts on my washer were different"
Negative,Positive,1.0,I do not recommend this product for anything other than protecting the tips ...,I do not recommend this product for anything other than protecting the tips .... I worked at cleaning the rust off to bare metal for almost a week a couple of h
Positive,Negative,4.0,Cheaply made but the product does work and I can ...,Cheaply made but the product does work and I can .... Cheaply made but the product does work and I can for a ton of items in the dishwasher using these
Negative,Positive,2.0,"After going through many highly rated digital and analog thermometers that absolutely sucked, I am (so far) very pleased with this ...","After going through many highly rated digital and analog thermometers that absolutely sucked, I am (so far) very pleased with this .... UPDATED: the unit died a"
Negative,Positive,1.0,Wrong item received TWICE!,"Wrong item received TWICE!. I received the international type of water filter mistakenly, and I exchanged it through Amazon.  The replacement went very smoothly"
Negative,Positive,2.0,So so,So so. I find this product to be flimsy and overpriced but does the job. It would have been better to come as a set of 2.
Neutral,Positive,3.0,Not worth saving $2,"Not worth saving $2. I bought these to use in an Aprilaire 500 unit, which this model claims to be compatible.
It might be compatible, but not a good fit.
Much "
Negative,Positive,1.0,Great Product,"Great Product. Great product if you do not have space for large dishwasher, works very well on economy if you have good hot water source.  Perfect for a couple."
Neutral,Negative,3.0,Beware of fit,Beware of fit. Beware it will not hit a GE stove.
Neutral,Positive,3.0,"Appears to be different, works the same","Appears to be different, works the same. The color is grey, original was white.  Clips into place, original was held with screw and additional plastic part.  Ba"
Neutral,Positive,3.0,I Do Not Recommend,"I Do Not Recommend. I purchased this because of the good reviews on a number of sites and a low price.
The claim was that it cleaned as good or better than more"
Negative,Positive,1.0,Worked great for 1 month,"Worked great for 1 month. Just requested the return labels.  Worked great for 1 month, now it only spits out tiny tiny ice cubes (on Large/Medium/Small) setting"
Neutral,Positive,3.0,Good enough,Good enough. They didn't fit like original equipment but they work and that's what really counts.
Positive,Negative,5.0,I liked it until one night when it broke down with ...,"I liked it until one night when it broke down with .... Updated review
The item I originally purchased broke down, but Ivation firm contacted me and shipped me "
Neutral,Positive,3.0,Arrived on time and nice fridge,Arrived on time and nice fridge. Item arrived quickly. only problem was that the front screw in foot that levels the mini fridge was bent and the fridge would n
Negative,Positive,1.0,They can't build a dishwasher rack to perform 10 years and they gouge with prices like that? I'll be looking for other sources o,They can't build a dishwasher rack to perform 10 years and they gouge with prices like that? I'll be looking for other sources o. Our GE Profile dishwasher has 
Neutral,Positive,3.0,"This is a newer replacement part, I need the ...","This is a newer replacement part, I need the .... This is a newer replacement part, I need the original part. This one was too short for my oven."
Neutral,Positive,3.0,Its a water filter,"Its a water filter. What can be said, its a water filter and it fits my frig. Its not like I have an alternative."
Neutral,Positive,3.0,"I needed these, I don't like non OEM's","I needed these, I don't like non OEM's. These are good, non OEM's are a waste of money. Here these are pricey but I couldn't find them locally & I got Free ship"
Negative,Positive,2.0,Two Stars,Two Stars. Smaller than expected
Neutral,Positive,3.0,Looks great!,"Looks great!. I like the look of the hood except that it was supposed to have four speeds and only has three also, it has older LED lights in it that are so dim"
Neutral,Positive,3.0,"Worked okay, but not worth price","Worked okay, but not worth price. Overall, these pads reduced the noise from my our Calypso washer.  The laundry room is on the main level, with a basement belo"
Positive,Negative,4.0,I have used it almost daily since I bought it ...,"I have used it almost daily since I bought it .... I have used it almost daily since I bought it months ago, several of those month connected to a gas power gen"
Positive,Negative,5.0,Air pockets in the transparent face cover.,Air pockets in the transparent face cover.. I like the design. The features operate well. BUT the transparent cover on the face has 7 air pockets and the cover 
Neutral,Positive,3.0,"It does the job, and it's very small. Lots of issues though.","It does the job, and it's very small. Lots of issues though.. It fits in a small location, and it works.

However, be warned: *nobody* services these. You shoul"
Negative,Positive,2.0,I am not happy with this filter this time,I am not happy with this filter this time. I purchased the original as I had read that the off brand ones leak. Well This has been leaking too and I paid 3 time
Negative,Positive,2.0,Careful - this may not be the spring tool you want!,Careful - this may not be the spring tool you want!. This tool is for removing the spring clamp for LG front loading washing machines. There are two clamps: an 
Neutral,Negative,3.0,Seems like a big hassle to return item when its on ...,Seems like a big hassle to return item when its on .... came with a dented top corner also power cord was unwrapped as if it been used. Seems like a big hassle 
Neutral,Negative,3.0,Misleading,"Misleading. I did a search for 3-mil thick trash compactor bags and this product came up.
No where did it say they were 2.5 mil thick.
Needless to say, they do "
Positive,Neutral,5.0,Part works but other repairs are needed,"Part works but other repairs are needed. As others have noted, this drive cup breaks because the auger gets out of alignment due to poor design of the ice bucke"
Neutral,Positive,3.0,I liked the way it was packaged,"I liked the way it was packaged. I liked the way it was packaged, in a flat box. What I didn't like was the drain holes are not open, You find out after you ins"
Negative,Positive,2.0,HUMM,HUMM. This stated that this was supposed to fit my fridge but it didn't.  I had to send it back..... The company expedited a full refund.  This is a big plus.  
Negative,Positive,1.0,Too small for standard trash compactor,"Too small for standard trash compactor. I tried using one of these and it does not fit my trash compactor.  I have a standard sized compactor, but the bag will "
Negative,Neutral,1.0,Filter does not align like the original part,Filter does not align like the original part. Filter does not align like the original part.  Suspicious of the quality of the product.  Alignment problem was no
Negative,Positive,2.0,... out of 5 knobs worked well the others were crap due to the adapter stripping making the knob useless,... out of 5 knobs worked well the others were crap due to the adapter stripping making the knob useless. 2 out of 5 knobs worked well the others were crap due 
Negative,Positive,1.0,I thought the price seemed very good and even though I would not be able to ...,I thought the price seemed very good and even though I would not be able to .... I bought this last year to put in my new kitchen. I thought the price seemed ve
Positive,Negative,4.0,The water coming through the filter had a slight metallic ...,"The water coming through the filter had a slight metallic .... The water coming through the filter had a slight metallic after-taste initially, but that went aw"
Negative,Positive,2.0,Read before buying,"Read before buying. I'm sure the other reviewers received a working product. I did too, for the first few days. However, I had to have a service guy come out wi"
Positive,Negative,5.0,Worked for my Samsung fridge. Took a chance and ...,Worked for my Samsung fridge. Took a chance and .... Worked for my Samsung fridge. Took a chance and tried to save some money by ordering these filters instead 
Negative,Positive,1.0,"Ruined clothes are bad enough, but FIRE","Ruined clothes are bad enough, but FIRE. Everything the other folks are saying is TRUE!!!  Ruined clothes are bad enough, but FIRE???  JEEZ.... I have to go OUT"
Neutral,Positive,3.0,Three Stars,Three Stars. it is good & works well
Neutral,Negative,3.0,Bearings failed after four months,Bearings failed after four months. I installed these without too much effort once I got everything apart and cleaned.  The ID seemed a little too big on the inn
Neutral,Positive,3.0,Three Stars,Three Stars. ok
Neutral,Negative,3.0,I like it and it came out as what it suppose ...,"I like it and it came out as what it suppose .... I like it and it came out as what it suppose to be for the past month.  But NOW, it begin to make my refrigera"
Negative,Positive,2.0,The ones I did receive are good quality and make my stove look 100x better,The ones I did receive are good quality and make my stove look 100x better. I received two of the four covers. The ones I did receive are good quality and make 
Negative,Positive,1.0,This product came with just the motor and lack the ...,This product came with just the motor and lack the .... This product came with just the motor and lack the rest of the hardware to install.  Still waiting for t
Negative,Positive,1.0,Unacceptably Flimsy Material,Unacceptably Flimsy Material. For the price I was expecting something far more substantial.  The paper thin material of this coupler makes it very flimsy and de
Neutral,Positive,3.0,works great for really small items,"works great for really small items. first one was defective,call manufacturer,they paid to ship it back and after about 6 weeks finally recieved new one ,works "
Neutral,Positive,3.0,Three Stars,Three Stars. Is this part is comparatively with model# GTWN4950LOWS
Positive,Negative,4.0,As described,As described. Couldn't use though because the appliance repair guy would only install his inventoried products due to the warranty he provides his customers for
Negative,Positive,2.0,Two Stars,Two Stars. inserts to attach to the stems on the range were all TOO BIG
Neutral,Positive,3.0,The pump you see is not the pump you get.,"The pump you see is not the pump you get.. The pump you see is not the pump you get.  You get shipped another similar one, but as another review mentions, it ta"
Negative,Positive,1.0,Buyer beware!,Buyer beware!. I ordered two of these with no problems. The third one totally broke my water filtration system! When I went to plug in the new filter it broke a
Negative,Positive,2.0,Pluses are that it was fairly quiet and the cube size was nice. I read the reviews and while it said ...,"Pluses are that it was fairly quiet and the cube size was nice. I read the reviews and while it said .... The machine worked for about 2 months, then stopped ch"
Negative,Positive,1.0,Too large,Too large. These do not fit a standard register. Love the idea but the product is too big and bulky to fit my register openings.
Negative,Positive,1.0,Stinks like SKUNK,Stinks like SKUNK. At first I thought it must be because it was new but the skunk smell does not go away. I bought it at Brandsmart and they had a tech come and
Negative,Positive,1.0,BestAir Ruined a Perfectly Good Filter,"BestAir Ruined a Perfectly Good Filter. BestAir effectively ruined what used to be a fine filter by adding their ""Perfect Blue"" to it.  This thin layer of blue "
Neutral,Positive,3.0,Good enough,"Good enough. The handle barely fits.  Yes, it took awhile but in the end, it works."
Negative,Positive,2.0,Two Stars,Two Stars. Works just like it should.
Negative,Positive,1.0,The service was excellent. The motor arrived promptly,"The service was excellent. The motor arrived promptly. The service was excellent. The motor arrived promptly. However, I bought it to replace a noisy motor and "
Neutral,Positive,3.0,Poor original design,Poor original design. Same poor design as the original part.  I ordered 2 since I know the other side will go soon.  2nd time I have had to replace this part on
Neutral,Negative,3.0,Not Working Correctly,Not Working Correctly. Had it only 2 months and it will not spin on high heat
Negative,Positive,2.0,Dissappointed,"Dissappointed. This range has some major flaws:
1- The oven exhausts into kitchen instead of into vent hood. Stinks up the whole house and dumps tons of moistur"
Negative,Positive,1.0,Don't get this fridge!!!,Don't get this fridge!!!. We had a gallery frigidaire fridge purchased in 2009 and it is a lump of metal n the kitchen. First the ice depenser broke the first y
Neutral,Positive,3.0,Little issue with it otherwise its Ok,Little issue with it otherwise its Ok. It could be a better filter but i had issues with rattling sound coming from the refrigerator while dispensing water. Aft
Positive,Negative,5.0,Awesome,Awesome. I wanted to text this out for awhile before writing a review. The first thing I threw in there was a week old pair of muddy jeans and they came out jus
Neutral,Negative,3.0,wakes you up in the middle of the night.,wakes you up in the middle of the night.. the fan has a nasty habit of coming on all by itself. Also the digital clock gains time. These problems started after 
Neutral,Positive,3.0,Three Stars,"Three Stars. The red dot was pink.  Otherwise, the part worked."
Neutral,Positive,3.0,Three Stars,Three Stars. OK.
Negative,Positive,1.0,Plan far in advance,Plan far in advance. When a product listed as in stock does not even ship for 4 days you know there is a problem somewhere.
Negative,Positive,2.0,Break out the dremel tool!,Break out the dremel tool!. Would be great if they fit my stove. I cross checked the part number with my stove on several sites. All said they would fit. I had 
Neutral,Positive,3.0,If they hold out the 8 years or so like the originals I'll be happy,If they hold out the 8 years or so like the originals I'll be happy. Snapped in and seem to work. If they hold out the 8 years or so like the originals I'll be 
Neutral,Positive,3.0,Three Stars,Three Stars. Good fit replacement
Neutral,Positive,3.0,If used on the right unit it's a very good product.,"If used on the right unit it's a very good product.. Didn't work, but I tried to make it work on a 60 yo fridge. If used on the right unit it's a very good prod"
Neutral,Positive,3.0,"Shipping took a long time, but it works.","Shipping took a long time, but it works.. It took  a really long time to get to me, but I think that's what one should expect for non Prime items. Other than th"
Negative,Positive,1.0,It was nice at first,It was nice at first. I had this hood for about a year before I was able to install it. Once I did it worked and looked very nice. After about a year I started 
Neutral,Positive,3.0,Generic Replacement,Generic Replacement. WE4M305 from General Electric is a standard clothes dryer light bulb used by different brands. Best bet if a dryer light bulb goes out is t
Neutral,Positive,3.0,Three Stars,Three Stars. Mat black exaust hood. Not black stainless
Negative,Positive,1.0,awful washer,awful washer. I absolutely hate this washing machine. My old washer was a Maytag and lasted 25 years. I'd hate to think with an extra 25 years of technology tha
Positive,Negative,5.0,This really did work.,This really did work.. I liked this product it did work to heat up on my skin and then dry up my skin and then shed my skin like a snake. It was entertaining an
Neutral,Negative,3.0,Expensive!,Expensive!. These are supposed to last six months but so far I find myself ordering them every 3-4 months.  Too expensive!
Neutral,Positive,3.0,Three Stars,Three Stars. Does not cycle right 1/2 time
Positive,Negative,5.0,He's not yet crawling but he does army crawl like the wind,He's not yet crawling but he does army crawl like the wind. My son will be 9 months on the 23rd and absolutely loves this tunnel. He's not yet crawling but he d
Positive,Neutral,4.0,Four Stars,Four Stars. Too Expensive
Negative,Positive,1.0,HORRIBLE reliability!,"HORRIBLE reliability!. We've had a Miele dishwasher for the past 8 years. Four years ago, we replaced the main wash pump (over $600,) and were just told that we"
Negative,Positive,1.0,Not very durable,"Not very durable. This was pretty easy to install. Worked perfectly but after 4 months after installation, the inner ring tore completely off after normal use. "
Positive,Negative,4.0,The oven is as advertised. The unit is well ...,The oven is as advertised. The unit is well .... The oven is as advertised. The unit is well constructed with heavy gauge stainless steel. The knobs are metal a
Negative,Positive,2.0,Two Stars,Two Stars. It stuck to my oven/
Positive,Negative,5.0,they work with existing mesh filter,"they work with existing mesh filter. I feel an idiot  , I was going to return them as I thought they were to small , there wasn't instructions but I then sussed"
Neutral,Positive,3.0,May need minor modification to fit,May need minor modification to fit. The mounting clips were slightly different and had to be modified to fit my washer.  Other than that everything was fine.
Neutral,Positive,3.0,doesn't go as cold as I wanted (gets down to ...,"doesn't go as cold as I wanted (gets down to .... doesn't go as cold as I wanted (gets down to around -7 or so, was hoping for below -10), but works okay"
Negative,Positive,2.0,"Is there a 3/4"" or 1"" rotating head available for purchase?","Is there a 3/4"" or 1"" rotating head available for purchase?. I am a new owner of this product.  It is easy to use, but I find that my hair is is too short for t"
Neutral,Positive,3.0,Three Stars,"Three Stars. I believe 417 for a burner knob is a little extreme, but when you need one you need one."
Negative,Neutral,1.0,Had to go to home depot to buy a better,Had to go to home depot to buy a better. Poorly made. Had to go to home depot to buy a better one
Positive,Negative,4.0,Functional,"Functional. They're kind of thin and cheap feeling, but they serve their purpose."
Negative,Positive,2.0,Defective Product,Defective Product. We were so excited to try this little machine after carefully reading the reviews and watching the videos. We received it quickly and were ex
Negative,Positive,1.0,Not OEM,"Not OEM. At least the pair I received was NOT OEM, as it was advertised to be.
They fit - tightly - and did work though. For the first cycle of the washing mach"
Neutral,Positive,3.0,Three Stars,Three Stars. doesn't fit Kenmore perfectly but it does work just doesn't sit in and lay flat keep popping up
Negative,Positive,1.0,These fikters are horrible.,"These fikters are horrible.. These filters are HORRIBLE and not ""NSF42 Certified to Reduce the Most Contaminants"" as stated in the description. The included dat"
Neutral,Positive,3.0,"Nice fridge, bad shelf design","Nice fridge, bad shelf design. I purchased this product from Home Depot.

We ordered this fridge for the following reasons:
1. Price - It was a great price comp"
Neutral,Positive,3.0,Not A Good OEM Replacement,Not A Good OEM Replacement. I did not filter out the hardness of the water.  It's not a good replacement for the Whirlpool refrigerator OEM.  If you don't care 
Negative,Positive,2.0,... laundry detergent is needed the only thing I didn't like about this machine is that it does not spin ...,... laundry detergent is needed the only thing I didn't like about this machine is that it does not spin .... This machine is ok not a Lots of laundry detergent
Neutral,Positive,3.0,Three Stars,Three Stars. More pricey with out any added benefit.
Negative,Positive,1.0,Just line your old pans with foil,Just line your old pans with foil. Nice finish but would not fit.  Just use foil to line your old pans or buy aluminum pans at the hardware store and stay away 
Neutral,Positive,3.0,Three Stars,Three Stars. Not sure whats going on.  Very noisy.  Getting another one.
Neutral,Positive,3.0,Three Stars,Three Stars. Works well
Negative,Positive,1.0,use two zip ties it works great and saves money,"use two zip ties it works great and saves money. Didn't work, sent it back, use two zip ties it works great and saves money."
Negative,Positive,2.0,ONLY 1 MONTH USE !!!,"ONLY 1 MONTH USE !!!. Bought this filter for a LG LFX28978ST refrigerator. The price seemed fair compared to the average filter, and it worked just fine at firs"
Positive,Negative,5.0,Wrong item!,"Wrong item!. Okay folks, this is indeed item 00618001, but it's not the same item on the photo or TITLE.  This is for the tine row SUPPORT clip.  NOT the pivot "
Neutral,Positive,3.0,Doesn't perfectly match but it fixed my dryer,Doesn't perfectly match but it fixed my dryer. The picture shows the red label stat like the one that came off my dryer. I was looking for the 250-40*F. This de
Negative,Positive,2.0,Works fine.,Works fine.. Had dents all over it. Works fine.
Negative,Positive,1.0,Cheap washers,"Cheap washers. Rubber washers are a bit too small.  Had to move washers off of old filter on to new to stop leaking.
Works good after changeover.  You get what "
Negative,Positive,2.0,Vent hood.,"Vent hood.. This was to big for my kitchen.  My fault for not taking better measurements.  It looked well made, just to big for me."
Neutral,Positive,3.0,"Works, but generic.","Works, but generic.. Received a Supco valve, not the OEM. Valve fits and works, but should have just ordered a generic and saved the price difference. Not worth"
Neutral,Positive,3.0,"It wasn't a bad machine, just bad upbringing","It wasn't a bad machine, just bad upbringing. I didn't buy this through Amazon. It came with the house, new, when we moved in 3.5 years ago. It actually ran ver"
Neutral,Positive,3.0,Three Stars,Three Stars. It was perfect fit. But it  took to long.
Positive,Negative,5.0,Door handle,Door handle. My daughter had taped her door handle for over 3 months before she told us it was broken. I went and purchased it online and when it came on I call
Neutral,Positive,3.0,Repair how-to if drain is clogged (nD - doesn't drain),"Repair how-to if drain is clogged (nD - doesn't drain). This washer works ok, and is the only one I found that would fit in my apartment without having to remov"
