label,MLP_pred,overall,summary,text_preview
Negative,Positive,2.0,SPWD1470C,"SPWD1470C. I use a Summit Professional Washer Dryer, model 1470C. The washer function works great. The dryer stopped working after about a year and it took the "
Positive,Negative,4.0,It was good..but it didn't fit,"It was good..but it didn't fit. This item is good, had to return it because it didn't fit. Quality is good."
Neutral,Negative,3.0,Maybe they should come up with a better system to keep grate from scratching stove,Maybe they should come up with a better system to keep grate from scratching stove. Way overpriced for what you get.  Tube of Silicone and few rubber feet. shou
Negative,Positive,1.0,Defective Part,"Defective Part. First part received was defective.  Since seller would not replace it, I have no way of knowing if this is a good product."
Neutral,Positive,3.0,decent,"decent. I had to return the 1st one. Product seems to have ""machine"" scratches on it. The second one was better, so I decided to keep it, but it isn't perfect, "
Positive,Neutral,5.0,Phenomenal product!,Phenomenal product!. It's pretty rare for me to be as impressed with a chance-purchase as I am with this one.  We own a large-capacity cool-mist humidifier with
Neutral,Positive,3.0,Three Stars,Three Stars. OK
Neutral,Positive,3.0,Three Stars,"Three Stars. it works, but can only turn clock wise. My old one could turn counter clock wise."
Positive,Neutral,4.0,... some of the plastic off so it could be easily inserted and removed,"... some of the plastic off so it could be easily inserted and removed. needed to file some of the plastic off so it could be easily inserted and removed, but i"
Positive,Negative,4.0,Display,Display. Nice display. Thought something was wrong with the comfort icons not displaying. Read manual and if the temp is above 79 degrees F no icon will display
Negative,Positive,1.0,Electronics Do Not Work,Electronics Do Not Work. I am now on my third oven KEBS279BSS in a year.  Kitchen Aid has admitted back in April 2013 that there was a problem with the electron
Negative,Positive,1.0,Advertised like new. Compressor was not working on arrival,Advertised like new. Compressor was not working on arrival. Advertised like new. Compressor was not working on arrival. Got a full refund with no problem.
Negative,Positive,2.0,Seems like they always rust,Seems like they always rust. Seems like they always rust. I hav apartments and it seems like every time a tenant moves Im replacing them.
Neutral,Positive,3.0,Three Stars,Three Stars. Good
Neutral,Negative,3.0,Three Stars,Three Stars. This come broke went I was connecting to the electricity
Neutral,Negative,3.0,Wrong Part,"Wrong Part. After many (4) attempts to find the correct part through various vendors, even directly through Whirlpool, the wrong parts were sent 4 times. Whirlp"
Neutral,Positive,3.0,Steam fresh a joke,Steam fresh a joke. Before purchasing this washer/dryer combo I owned a Whirlpool duet at my previous home.  I thought I would try this LG since it got good rev
Neutral,Positive,3.0,Acceptable replacement but not perfect,Acceptable replacement but not perfect. This replacement part works ok but not perfectly.  I'm a bit disappointed by the shut-off arm which is quite cheaply mad
Positive,Negative,5.0,Five Stars,"Five Stars. Couldn't, wouldn't live without it."
Negative,Positive,2.0,They look good on the stove,"They look good on the stove. They look good on the stove, except for one of the small ones which was bent straight down.  I was able to bend it back up, but som"
Negative,Positive,1.0,noisy,"noisy. its ok,  slow response from air king for a problem.  it is not quiet and the light is quite dim.  would not recommend."
Neutral,Positive,3.0,Three Stars,"Three Stars. Not the same durability, but for the price it worked my dryer now dries our clothes"
Neutral,Positive,3.0,Cannot Wash,Cannot Wash. The handles are great but stains easily and it falls apart after washing.
Positive,Negative,4.0,It seems to work good and is about one degree different then another one ...,It seems to work good and is about one degree different then another one .... It seems to work good and is about one degree different then another one i use so 
Positive,Neutral,4.0,considering its plastic and probably has a short life. ...,considering its plastic and probably has a short life. .... considering its plastic and probably has a short life . . . its looking and working ok . . . priced 
Negative,Positive,1.0,shoddy,"shoddy. as you can see in the photos, it looks like the insulation was just torn off-- also shearing some of the copper strands.  if the part you can see is thi"
Neutral,Positive,3.0,Three Stars,"Three Stars. Fits great, but wears out quickly."
Positive,Neutral,4.0,I bought two and they are both reading pretty close so they work and that's good,I bought two and they are both reading pretty close so they work and that's good. I bought two and they are both reading pretty close so they work and that's go
Neutral,Positive,3.0,This product is not the correct replacement for my Samsung ...,This product is not the correct replacement for my Samsung .... This product is not the correct replacement for my Samsung Refrigerator!  The replacement does n
Negative,Neutral,1.0,not enough tungsten,not enough tungsten. I had this part for three months and it burned out the wire will break. The reason is a lack of tungsten in heating coil wire this makes it
Negative,Neutral,1.0,Wouldn't fit,"Wouldn't fit. Item is good price for pk of 3. Seems to be good quailty. However, I couldn't get it to lock into place. I cross referenced the part numbers and i"
Negative,Positive,1.0,"Cheap, plastic handle made in China","Cheap, plastic handle made in China. For the price of this I could just sand down and repaint the original handle where the paint just chipped off."
Negative,Positive,1.0,Went cheap to get good deal. Came home to kitchen flooded,Went cheap to get good deal. Came home to kitchen flooded. Went cheap to get good deal. Came home to kitchen flooded. Cost of fixing my kitchen floors far outwe
Neutral,Negative,3.0,I wasted 11 glasses of water before use but it taste ...,I wasted 11 glasses of water before use but it taste .... i replaced in my kenmore refrigerator. I wasted 11 glasses of water before use but it taste is not as 
Neutral,Positive,3.0,Not as easy to use as other per say,Not as easy to use as other per say. This product is so-so. Not as easy to use as other per say.
Neutral,Negative,3.0,Dented & broken,Dented & broken. Arrived with dents and broken pieces.
Neutral,Positive,3.0,These seem to be good quality hoses but the inside diameter is a bit ...,These seem to be good quality hoses but the inside diameter is a bit .... These seem to be good quality hoses but the inside diameter is a bit smaller thus taki
Neutral,Positive,3.0,OK but floppy,"OK but floppy. The quality is good.  However, compared with genuine ReliOn filter, this replacement filter does not have central metal support, so it is kind of"
Neutral,Positive,3.0,Three Stars,"Three Stars. Love it, wish it had more speeds like soft or slow,  very powerful. Love it though!"
Positive,Negative,5.0,Good quality,"Good quality. There are burner covers being sold on the internet as stainless steel when in fact they are really just stainless steel LOOKING, while being flims"
Neutral,Positive,3.0,It works fine if the instructions are being followed!,It works fine if the instructions are being followed!. The filter will work fine and last long time only if special care of the operation of the humidifier is i
Positive,Negative,5.0,Was the proper fit for our fridge. It does ...,"Was the proper fit for our fridge. It does .... Was the proper fit for our fridge. It does have the two rails on top (instead of one), which is the one we neede"
Positive,Neutral,4.0,"I've Tried the ""MWF-Compatible"" filters - Staying with GE ""Genuine"" Filter","I've Tried the ""MWF-Compatible"" filters - Staying with GE ""Genuine"" Filter. We've owned our GE Side-by-side Refrigerator since 2008 and our family of six uses t"
Negative,Neutral,2.0,however it is not the best design or the best built or the best value ...,however it is not the best design or the best built or the best value .... The biggest liability of this unit is the handle to operate the door.  It is much too
Negative,Positive,1.0,I BELEIVE ITS ALL A LIE,"I BELEIVE ITS ALL A LIE. IN MY OPINION..., the item I received is NOT AP5328388 Genuine LG Factory Original. IT IS NOT AN LG PART. IT HAS THE NUMBERS OF A REPLA"
Negative,Positive,1.0,I bought stainless steel hookups for half the price and they worked great.,"I bought stainless steel hookups for half the price and they worked great.. Maybe these hoses work for some things, but I bought these for a brand new portable "
Neutral,Positive,3.0,Three Stars,"Three Stars. fit well in my sink, though I did find it had fallen all the way in one time!"
Positive,Negative,4.0,Spent just a bit more for the whole unit than ...,"Spent just a bit more for the whole unit than .... Spent just a bit more for the whole unit than just replacing the motor and sensor, but well worth it due to t"
Negative,Positive,1.0,not a good product.,not a good product.. O-ring on small (important) parts does not fit where the water drains....not a good product.
Positive,Negative,5.0,Such a waste of water,"Such a waste of water. Have to stick with these. Same as what they sell on the whirlpool site. Little cheaper here. Tried some other off brand kinds, and had to"
Neutral,Positive,3.0,Three Stars,Three Stars. not as fast as original equipment
Neutral,Positive,3.0,Three Stars,Three Stars. ok
Negative,Positive,1.0,"cheap because not as good filtration, its a simple charcoal filter","cheap because not as good filtration, its a simple charcoal filter. Not NSF certified, cheap because not as good filtration, its a simple charcoal filter."
Positive,Negative,5.0,"Solid construction, genuine product","Solid construction, genuine product. This is the real deal replacement product.  It's metal mesh with a special coating.  I sprayed it with anti-bacterial/mold "
Negative,Positive,1.0,Died quick,Died quick. Died in 35 days
Negative,Positive,2.0,Two Stars,Two Stars. Does not keep beverages very cold
Neutral,Positive,3.0,Does its job,"Does its job. Not alot to say it a piece of plastic, It will help me keep my kitchen looking clean so I'm happy"
Neutral,Positive,3.0,the washer now works fine.,"the washer now works fine.. This is the only kit sold for Whirlpool washers. I watched every single video i could see, and the parts on my washer were different"
Negative,Positive,1.0,I do not recommend this product for anything other than protecting the tips ...,I do not recommend this product for anything other than protecting the tips .... I worked at cleaning the rust off to bare metal for almost a week a couple of h
Positive,Negative,4.0,Cheaply made but the product does work and I can ...,Cheaply made but the product does work and I can .... Cheaply made but the product does work and I can for a ton of items in the dishwasher using these
Negative,Positive,2.0,"After going through many highly rated digital and analog thermometers that absolutely sucked, I am (so far) very pleased with this ...","After going through many highly rated digital and analog thermometers that absolutely sucked, I am (so far) very pleased with this .... UPDATED: the unit died a"
Negative,Positive,2.0,So so,So so. I find this product to be flimsy and overpriced but does the job. It would have been better to come as a set of 2.
Neutral,Positive,3.0,Not worth saving $2,"Not worth saving $2. I bought these to use in an Aprilaire 500 unit, which this model claims to be compatible.
It might be compatible, but not a good fit.
Much "
Negative,Positive,1.0,Great Product,"Great Product. Great product if you do not have space for large dishwasher, works very well on economy if you have good hot water source.  Perfect for a couple."
Neutral,Negative,3.0,Beware of fit,Beware of fit. Beware it will not hit a GE stove.
Neutral,Positive,3.0,"Appears to be different, works the same","Appears to be different, works the same. The color is grey, original was white.  Clips into place, original was held with screw and additional plastic part.  Ba"
Neutral,Positive,3.0,I Do Not Recommend,"I Do Not Recommend. I purchased this because of the good reviews on a number of sites and a low price.
The claim was that it cleaned as good or better than more"
Positive,Negative,5.0,Same as OEM,Same as OEM. My local appliance shop wanted $75 for the exact same element. This element looks identical to the OEM that failed. The OEM element lasted 5 years 
Neutral,Positive,3.0,Good enough,Good enough. They didn't fit like original equipment but they work and that's what really counts.
Positive,Negative,5.0,I liked it until one night when it broke down with ...,"I liked it until one night when it broke down with .... Updated review
The item I originally purchased broke down, but Ivation firm contacted me and shipped me "
Neutral,Positive,3.0,Arrived on time and nice fridge,Arrived on time and nice fridge. Item arrived quickly. only problem was that the front screw in foot that levels the mini fridge was bent and the fridge would n
Negative,Positive,1.0,They can't build a dishwasher rack to perform 10 years and they gouge with prices like that? I'll be looking for other sources o,They can't build a dishwasher rack to perform 10 years and they gouge with prices like that? I'll be looking for other sources o. Our GE Profile dishwasher has 
Neutral,Positive,3.0,"This is a newer replacement part, I need the ...","This is a newer replacement part, I need the .... This is a newer replacement part, I need the original part. This one was too short for my oven."
Neutral,Positive,3.0,Its a water filter,"Its a water filter. What can be said, its a water filter and it fits my frig. Its not like I have an alternative."
Neutral,Positive,3.0,"I needed these, I don't like non OEM's","I needed these, I don't like non OEM's. These are good, non OEM's are a waste of money. Here these are pricey but I couldn't find them locally & I got Free ship"
Negative,Neutral,2.0,Two Stars,Two Stars. Smaller than expected
Neutral,Positive,3.0,Looks great!,"Looks great!. I like the look of the hood except that it was supposed to have four speeds and only has three also, it has older LED lights in it that are so dim"
Neutral,Positive,3.0,"Worked okay, but not worth price","Worked okay, but not worth price. Overall, these pads reduced the noise from my our Calypso washer.  The laundry room is on the main level, with a basement belo"
Positive,Negative,4.0,I have used it almost daily since I bought it ...,"I have used it almost daily since I bought it .... I have used it almost daily since I bought it months ago, several of those month connected to a gas power gen"
Positive,Negative,5.0,Air pockets in the transparent face cover.,Air pockets in the transparent face cover.. I like the design. The features operate well. BUT the transparent cover on the face has 7 air pockets and the cover 
Neutral,Positive,3.0,"It does the job, and it's very small. Lots of issues though.","It does the job, and it's very small. Lots of issues though.. It fits in a small location, and it works.

However, be warned: *nobody* services these. You shoul"
Negative,Positive,2.0,I am not happy with this filter this time,I am not happy with this filter this time. I purchased the original as I had read that the off brand ones leak. Well This has been leaking too and I paid 3 time
Negative,Positive,2.0,Careful - this may not be the spring tool you want!,Careful - this may not be the spring tool you want!. This tool is for removing the spring clamp for LG front loading washing machines. There are two clamps: an 
Neutral,Negative,3.0,Seems like a big hassle to return item when its on ...,Seems like a big hassle to return item when its on .... came with a dented top corner also power cord was unwrapped as if it been used. Seems like a big hassle 
Neutral,Positive,3.0,Misleading,"Misleading. I did a search for 3-mil thick trash compactor bags and this product came up.
No where did it say they were 2.5 mil thick.
Needless to say, they do "
Positive,Negative,5.0,Part works but other repairs are needed,"Part works but other repairs are needed. As others have noted, this drive cup breaks because the auger gets out of alignment due to poor design of the ice bucke"
Negative,Positive,1.0,The clamp to the water line to the ice maker ...,The clamp to the water line to the ice maker .... The clamp to the water line to the ice maker water in the door did not connect correctly. When a call for wate
Neutral,Negative,3.0,I liked the way it was packaged,"I liked the way it was packaged. I liked the way it was packaged, in a flat box. What I didn't like was the drain holes are not open, You find out after you ins"
Positive,Negative,5.0,Five Stars,Five Stars. 5 star
Positive,Negative,5.0,It Works and Length is sufficient for any burner.,"It Works and Length is sufficient for any burner.. It works!  Unplug the old burner, and it will plug directly into this.  No other parts or connectors needed. "
Negative,Positive,2.0,... out of 5 knobs worked well the others were crap due to the adapter stripping making the knob useless,... out of 5 knobs worked well the others were crap due to the adapter stripping making the knob useless. 2 out of 5 knobs worked well the others were crap due 
Positive,Neutral,4.0,it works,"it works. Does it's job, but I was hoping it would stack nicely on top of the ice holder tray that came in with our fridge, but it doesn't.  It does, however, s"
Negative,Positive,1.0,I thought the price seemed very good and even though I would not be able to ...,I thought the price seemed very good and even though I would not be able to .... I bought this last year to put in my new kitchen. I thought the price seemed ve
Positive,Neutral,4.0,Works but super-expensive for the material,"Works but super-expensive for the material. The extender words just as it should.  However, I thought the other reviews were exaggerating with how flimsy and ch"
Positive,Negative,4.0,The water coming through the filter had a slight metallic ...,"The water coming through the filter had a slight metallic .... The water coming through the filter had a slight metallic after-taste initially, but that went aw"
Negative,Positive,2.0,Read before buying,"Read before buying. I'm sure the other reviewers received a working product. I did too, for the first few days. However, I had to have a service guy come out wi"
Negative,Positive,1.0,"Ruined clothes are bad enough, but FIRE","Ruined clothes are bad enough, but FIRE. Everything the other folks are saying is TRUE!!!  Ruined clothes are bad enough, but FIRE???  JEEZ.... I have to go OUT"
Neutral,Positive,3.0,Three Stars,Three Stars. it is good & works well
Positive,Neutral,5.0,Five Stars,Five Stars. Wish there was a version that lasted more than a year or two before breaking!
Negative,Positive,2.0,I bought the single zone AKDY 28 bottle WC0015 wine ...,"I bought the single zone AKDY 28 bottle WC0015 wine .... I bought the single zone AKDY 28 bottle WC0015 wine cooler, unboxed it and let it sit 4 hours before pl"
Positive,Negative,5.0,If you want better quality you will have to pay more per unit,"If you want better quality you will have to pay more per unit. These are universal, disposable, and inexpensive. If you want better quality you will have to pay"
Neutral,Negative,3.0,Bearings failed after four months,Bearings failed after four months. I installed these without too much effort once I got everything apart and cleaned.  The ID seemed a little too big on the inn
Neutral,Positive,3.0,Three Stars,Three Stars. ok
Neutral,Negative,3.0,I like it and it came out as what it suppose ...,"I like it and it came out as what it suppose .... I like it and it came out as what it suppose to be for the past month.  But NOW, it begin to make my refrigera"
Negative,Positive,2.0,The ones I did receive are good quality and make my stove look 100x better,The ones I did receive are good quality and make my stove look 100x better. I received two of the four covers. The ones I did receive are good quality and make 
Negative,Positive,1.0,This product came with just the motor and lack the ...,This product came with just the motor and lack the .... This product came with just the motor and lack the rest of the hardware to install.  Still waiting for t
Positive,Neutral,4.0,Don't over tighten,"Don't over tighten. Not threaded, works fine but don't over tighten or it'll strip."
Neutral,Positive,3.0,works great for really small items,"works great for really small items. first one was defective,call manufacturer,they paid to ship it back and after about 6 weeks finally recieved new one ,works "
Positive,Negative,4.0,As described,As described. Couldn't use though because the appliance repair guy would only install his inventoried products due to the warranty he provides his customers for
Positive,Negative,4.0,Excellent Quality Drip Pans But Only Lasted 1 Year,Excellent Quality Drip Pans But Only Lasted 1 Year. Edit 2-18:I purchased these drip pans 1 year ago..1-17. They started looking bad. The black porcelain coatin
Negative,Positive,2.0,Two Stars,Two Stars. inserts to attach to the stems on the range were all TOO BIG
Neutral,Positive,3.0,The pump you see is not the pump you get.,"The pump you see is not the pump you get.. The pump you see is not the pump you get.  You get shipped another similar one, but as another review mentions, it ta"
Negative,Positive,1.0,Buyer beware!,Buyer beware!. I ordered two of these with no problems. The third one totally broke my water filtration system! When I went to plug in the new filter it broke a
Negative,Positive,2.0,Pluses are that it was fairly quiet and the cube size was nice. I read the reviews and while it said ...,"Pluses are that it was fairly quiet and the cube size was nice. I read the reviews and while it said .... The machine worked for about 2 months, then stopped ch"
Negative,Positive,1.0,Too large,Too large. These do not fit a standard register. Love the idea but the product is too big and bulky to fit my register openings.
Negative,Neutral,1.0,BestAir Ruined a Perfectly Good Filter,"BestAir Ruined a Perfectly Good Filter. BestAir effectively ruined what used to be a fine filter by adding their ""Perfect Blue"" to it.  This thin layer of blue "
Positive,Neutral,4.0,Best price with decent shipping for this replacement part.,Best price with decent shipping for this replacement part.. I have had to replace this twice on my washing machine. It is by far the most fragile part on my fro
Neutral,Positive,3.0,Good enough,"Good enough. The handle barely fits.  Yes, it took awhile but in the end, it works."
Negative,Positive,2.0,Two Stars,Two Stars. Works just like it should.
Negative,Positive,1.0,The service was excellent. The motor arrived promptly,"The service was excellent. The motor arrived promptly. The service was excellent. The motor arrived promptly. However, I bought it to replace a noisy motor and "
Neutral,Negative,3.0,Poor original design,Poor original design. Same poor design as the original part.  I ordered 2 since I know the other side will go soon.  2nd time I have had to replace this part on
Neutral,Negative,3.0,Not Working Correctly,Not Working Correctly. Had it only 2 months and it will not spin on high heat
Positive,Negative,5.0,Perfect fit with no leaks. Can't go wrong with OEM filters,"Perfect fit with no leaks. Can't go wrong with OEM filters. Cheaper 3rd party options are out there, but I don't like to skimp where safety is a factor. This fi"
Negative,Positive,2.0,Dissappointed,"Dissappointed. This range has some major flaws:
1- The oven exhausts into kitchen instead of into vent hood. Stinks up the whole house and dumps tons of moistur"
Neutral,Positive,3.0,Little issue with it otherwise its Ok,Little issue with it otherwise its Ok. It could be a better filter but i had issues with rattling sound coming from the refrigerator while dispensing water. Aft
Neutral,Negative,3.0,wakes you up in the middle of the night.,wakes you up in the middle of the night.. the fan has a nasty habit of coming on all by itself. Also the digital clock gains time. These problems started after 
Negative,Positive,1.0,My last one was fine but went through 2 of these with the same ...,My last one was fine but went through 2 of these with the same .... These filters this time were JUNK!!! My last one was fine but went through 2 of these with t
Neutral,Positive,3.0,Three Stars,"Three Stars. The red dot was pink.  Otherwise, the part worked."
Neutral,Positive,3.0,Three Stars,Three Stars. OK.
Negative,Positive,1.0,Plan far in advance,Plan far in advance. When a product listed as in stock does not even ship for 4 days you know there is a problem somewhere.
Negative,Positive,2.0,Break out the dremel tool!,Break out the dremel tool!. Would be great if they fit my stove. I cross checked the part number with my stove on several sites. All said they would fit. I had 
Negative,Positive,2.0,The first element I received was installed. Unit ran ...,The first element I received was installed. Unit ran .... The first element I received was installed. Unit ran 30 seconds. Piped circuit breaker. Took apart fou
Neutral,Positive,3.0,If they hold out the 8 years or so like the originals I'll be happy,If they hold out the 8 years or so like the originals I'll be happy. Snapped in and seem to work. If they hold out the 8 years or so like the originals I'll be 
Neutral,Positive,3.0,Three Stars,Three Stars. Good fit replacement
Neutral,Positive,3.0,If used on the right unit it's a very good product.,"If used on the right unit it's a very good product.. Didn't work, but I tried to make it work on a 60 yo fridge. If used on the right unit it's a very good prod"
Positive,Negative,5.0,worked great. Got it installed and looooove it,"worked great. Got it installed and looooove it. First one came and we installed it without plugging it in first. Got it all installed, plugged in and would not "
Negative,Positive,1.0,It was nice at first,It was nice at first. I had this hood for about a year before I was able to install it. Once I did it worked and looked very nice. After about a year I started 
Positive,Neutral,4.0,Four Stars,Four Stars. Not as heavy made and I pictured.  They are very light weight.
Positive,Neutral,5.0,Five Stars,Five Stars. Just wish you could furnish the plastic carrier.
Neutral,Positive,3.0,Generic Replacement,Generic Replacement. WE4M305 from General Electric is a standard clothes dryer light bulb used by different brands. Best bet if a dryer light bulb goes out is t
Neutral,Positive,3.0,Three Stars,Three Stars. Mat black exaust hood. Not black stainless
Negative,Positive,1.0,awful washer,awful washer. I absolutely hate this washing machine. My old washer was a Maytag and lasted 25 years. I'd hate to think with an extra 25 years of technology tha
Positive,Negative,5.0,This really did work.,This really did work.. I liked this product it did work to heat up on my skin and then dry up my skin and then shed my skin like a snake. It was entertaining an
Positive,Neutral,4.0,Four Stars,"Four Stars. Used this locking device to secure locker that
was broken. Awating replacement but in the meantime items are secured"
Neutral,Positive,3.0,Expensive!,Expensive!. These are supposed to last six months but so far I find myself ordering them every 3-4 months.  Too expensive!
Neutral,Positive,3.0,Three Stars,Three Stars. Does not cycle right 1/2 time
Positive,Neutral,4.0,Four Stars,Four Stars. Too Expensive
Positive,Negative,5.0,Recommend,Recommend. Will buy again
Negative,Positive,1.0,Not very durable,"Not very durable. This was pretty easy to install. Worked perfectly but after 4 months after installation, the inner ring tore completely off after normal use. "
Positive,Negative,4.0,The oven is as advertised. The unit is well ...,The oven is as advertised. The unit is well .... The oven is as advertised. The unit is well constructed with heavy gauge stainless steel. The knobs are metal a
Negative,Positive,2.0,Two Stars,Two Stars. It stuck to my oven/
Positive,Negative,5.0,they work with existing mesh filter,"they work with existing mesh filter. I feel an idiot  , I was going to return them as I thought they were to small , there wasn't instructions but I then sussed"
Neutral,Positive,3.0,May need minor modification to fit,May need minor modification to fit. The mounting clips were slightly different and had to be modified to fit my washer.  Other than that everything was fine.
Negative,Positive,2.0,"Is there a 3/4"" or 1"" rotating head available for purchase?","Is there a 3/4"" or 1"" rotating head available for purchase?. I am a new owner of this product.  It is easy to use, but I find that my hair is is too short for t"
Negative,Positive,1.0,Much Louder than expected.,Much Louder than expected.. This item is much louder than I expected.  It's in my living space and sounds similar to a computer tower with a moderately loud fan
Neutral,Positive,3.0,Three Stars,"Three Stars. I believe 417 for a burner knob is a little extreme, but when you need one you need one."
Negative,Positive,1.0,Had to go to home depot to buy a better,Had to go to home depot to buy a better. Poorly made. Had to go to home depot to buy a better one
Positive,Negative,4.0,Functional,"Functional. They're kind of thin and cheap feeling, but they serve their purpose."
Negative,Positive,2.0,Defective Product,Defective Product. We were so excited to try this little machine after carefully reading the reviews and watching the videos. We received it quickly and were ex
Neutral,Negative,3.0,Three Stars,Three Stars. doesn't fit Kenmore perfectly but it does work just doesn't sit in and lay flat keep popping up
Neutral,Positive,3.0,"Nice fridge, bad shelf design","Nice fridge, bad shelf design. I purchased this product from Home Depot.

We ordered this fridge for the following reasons:
1. Price - It was a great price comp"
Neutral,Positive,3.0,Not A Good OEM Replacement,Not A Good OEM Replacement. I did not filter out the hardness of the water.  It's not a good replacement for the Whirlpool refrigerator OEM.  If you don't care 
Negative,Neutral,2.0,... laundry detergent is needed the only thing I didn't like about this machine is that it does not spin ...,... laundry detergent is needed the only thing I didn't like about this machine is that it does not spin .... This machine is ok not a Lots of laundry detergent
Negative,Positive,1.0,Just line your old pans with foil,Just line your old pans with foil. Nice finish but would not fit.  Just use foil to line your old pans or buy aluminum pans at the hardware store and stay away 
Positive,Negative,4.0,"It Works, But Leaks","It Works, But Leaks. This unit works very well for drying clothes, but for some odd reason it leaks water and shuts-off randomly if used over 40min continually."
Negative,Neutral,1.0,Does't rehydrate very well,"Does't rehydrate very well. Idk what the problem was, these things usually work.. But this did not hydrate my tobacco at all."
Neutral,Positive,3.0,Three Stars,Three Stars. Works well
Negative,Positive,1.0,use two zip ties it works great and saves money,"use two zip ties it works great and saves money. Didn't work, sent it back, use two zip ties it works great and saves money."
Positive,Negative,5.0,Wrong item!,"Wrong item!. Okay folks, this is indeed item 00618001, but it's not the same item on the photo or TITLE.  This is for the tine row SUPPORT clip.  NOT the pivot "
Neutral,Positive,3.0,Doesn't perfectly match but it fixed my dryer,Doesn't perfectly match but it fixed my dryer. The picture shows the red label stat like the one that came off my dryer. I was looking for the 250-40*F. This de
Negative,Positive,2.0,"While the water tastes fine, this unit provides water at the slowest rate ...","While the water tastes fine, this unit provides water at the slowest rate .... Water comes out very slowly from the unit I received.  Slower than the filter it "
Negative,Positive,2.0,Works fine.,Works fine.. Had dents all over it. Works fine.
Negative,Neutral,1.0,Cheap washers,"Cheap washers. Rubber washers are a bit too small.  Had to move washers off of old filter on to new to stop leaking.
Works good after changeover.  You get what "
Negative,Positive,2.0,"not as pictured, very cheap plastic","not as pictured, very cheap plastic. The handle is not like the picture.  It is a solid black molded plastic piece.  It has recessed letter with holes in it for"
Positive,Negative,5.0,Five Stars,"Five Stars. Requires some force to install, nothing a hammer couldn't do."
Negative,Positive,2.0,Vent hood.,"Vent hood.. This was to big for my kitchen.  My fault for not taking better measurements.  It looked well made, just to big for me."
Neutral,Positive,3.0,"Works, but generic.","Works, but generic.. Received a Supco valve, not the OEM. Valve fits and works, but should have just ordered a generic and saved the price difference. Not worth"
Positive,Negative,4.0,Still working!,Still working!. I've had several different models of inexpensive weather stations. This one has lasted longer than any of the others.
Positive,Neutral,5.0,I liked this thermometer so much I purchased a second one,"I liked this thermometer so much I purchased a second one. I liked this thermometer so much I purchased a second one. They stand in there own, are small enough "
Positive,Negative,5.0,Five Stars,Five Stars. Taste like water.
Neutral,Positive,3.0,"It wasn't a bad machine, just bad upbringing","It wasn't a bad machine, just bad upbringing. I didn't buy this through Amazon. It came with the house, new, when we moved in 3.5 years ago. It actually ran ver"
Neutral,Positive,3.0,Three Stars,Three Stars. It was perfect fit. But it  took to long.
Neutral,Positive,3.0,Repair how-to if drain is clogged (nD - doesn't drain),"Repair how-to if drain is clogged (nD - doesn't drain). This washer works ok, and is the only one I found that would fit in my apartment without having to remov"
Neutral,Negative,3.0,... bought it and found it to be not as good all my clothes get tangled,... bought it and found it to be not as good all my clothes get tangled. I bought it and found it to be not as good all my clothes get tangled. The only thing i
Neutral,Positive,3.0,over-priced rubber grate pads,over-priced rubber grate pads. tiny piece of rubber should cost less than a quarter. easy to install but am concerned how long they will last
Negative,Positive,1.0,Defective initial design and poor Corporate assumption of responsibility!,Defective initial design and poor Corporate assumption of responsibility!. Whirlpool did it again - making our world a little harder. The part apparently  fixes
Neutral,Positive,3.0,The unit works that's really all that matters. This ...,The unit works that's really all that matters. This .... The unit works that's really all that matters.  This is my second valve though and I think it's a shame
Positive,Negative,5.0,... use again feel safer with it know its not easy to cut or leak,... use again feel safer with it know its not easy to cut or leak. Would use over cheap the cheap tub the frig comes with would use again feel safer with it kno
Neutral,Negative,3.0,handy but less reliable,"handy but less reliable. Bought 1st one in 2004 to wash my baby clothes since I did not want to wash them in common laundry of our apartment.
Pro: Just small en"
Positive,Negative,4.0,"Looks okay, for the price...","Looks okay, for the price.... I asked customers who bought this item whether it comes with any rubber gasket and has been replied with ""yes"" (rubber one for abo"
Positive,Negative,4.0,i HAVE A SIDE-BY-SIDE GE REFRIGERATOR/FREEZER. I PURCHASED THIS ...,i HAVE A SIDE-BY-SIDE GE REFRIGERATOR/FREEZER. I PURCHASED THIS .... i HAVE A SIDE-BY-SIDE GE REFRIGERATOR/FREEZER. I PURCHASED THIS FILTER FROM AMAZON CHEAPER 
Negative,Neutral,2.0,Two Stars,Two Stars. Smaller than what I expected
Negative,Positive,2.0,Two Stars,Two Stars. did not fix my problem with refrigerator
Negative,Neutral,2.0,Parts are Aftermarket Not Genuine OEM as Advertised,Parts are Aftermarket Not Genuine OEM as Advertised. I carefully looked to make sure these parts were genuine Whirlpool parts but they were not.  Genuine Whirlp
Negative,Positive,2.0,Sears Model !,Sears Model !. Darn Same F7 Problem.
Neutral,Positive,3.0,"Received multiple damaged units, doesn't keep time, sucks air well.","Received multiple damaged units, doesn't keep time, sucks air well.. In some ways, I wanted to give it one or two stars, but the price and the fact that is exha"
Neutral,Positive,3.0,3 stars,3 stars. IT's not the best freezer here in Amazon but it's definitely not the worst one. It works well and has sufficient space for my stuff.
Positive,Neutral,4.0,Read this review it debunk some of the others.,Read this review it debunk some of the others.. I purchase this dryer to use in our camper as we need a 110 plug in for the dryer in the camper it dries clothes
